topic_label,lema_label,count
animals,animals,86
animals,animal,35
animals,fauna,2
animals,beast,1
animals,creature,1
animals,animals,86
animals,animal,35
animals,stray_animals,6
animals,wild_animals,2
animals,less_animal,2
animals,local_animals,1
animals,street_animals,1
animals,rare_animals,1
animals,human_animals,1
animals,marine_animal,1
animals,happy_animals,1
animals,macau_animal,1
animals,step_animal,1
animals,healthy_animals,1
animals,killing_animals,1
animals,more_animal,1
animals,other_animals,1
animals,endangered_animal,1
animals,foster_animals,1
