topic_label,lema_label,count
bright,bright,29
bright,smart,6
bright,brilliant,1
bright,shining,1
bright,hopeful,1
rights,rights,129
rights,human_rights,45
rights,bright,29
rights,equal_rights,27
rights,right,24
rights,proper,13
rights,womens_rights,7
rights,brighter,6
rights,promising,5
rights,same_rights,4
rights,basic_rights,4
rights,social_rights,2
rights,peoples_rights,2
rights,more_rights,2
rights,animal_rights,2
rights,fundamental_rights,1
rights,violation_rights,1
rights,comfortable_bright,1
rights,survival_rights,1
rights,righteousness,1
rights,enough_rights,1
rights,brilliant,1
rights,civil_rights,1
rights,equitable_rights,1
rights,natural_rights,1
rights,bodily_rights,1
rights,childrens_rights,1
rights,trans_rights,1
rights,women_rights,1
rights,lgbtq_rights,1
rights,birth_rights,1
rights,workers_rights,1
rights,others_rights,1
rights,health_rights,1
rights,reproductive_rights,1
rights,fewer_right,1
rights,abortion_right,1
rights,rightuos,1
rights,righteous,1
