topic_label,lema_label,count
business,business,106
business,line,9
business,concern,4
business,occupation,2
business,business,106
business,jobs,27
business,businessman,19
business,successful_business,14
business,line,9
business,successful_businessman,9
business,more_jobs,5
business,businesswoman,5
business,businesses,5
business,origin,4
business,good_business,3
business,great_businesswoman,2
business,tune,2
business,great_business,2
business,businesswomen,2
business,family_business,2
business,great_businessman,2
business,life_business,1
business,poverty_line,1
business,thriving_business,1
business,ungrateful_jobs,1
business,ones_business,1
business,different_businesses,1
business,their_origin,1
business,side_business,1
business,successfull_businesswomen,1
business,bussiness,1
business,bussinessman,1
business,successful_bussinessman,1
business,global_business,1
business,multiple_businesses,1
business,money_business,1
business,appropriate_jobs,1
business,breeding_business,1
business,freelance_business,1
business,useless_jobs,1
business,major_businessman,1
business,marketing_jobs,1
business,sustainable_business,1
business,grate_business,1
business,great_jobs,1
business,global_jobs,1
business,educational_line,1
business,successful_businesswomen,1
business,sucessful_business,1
business,succesful_business,1
business,busines,1
business,good_busines,1
business,notes,1
business,cloud_notes,1
business,entrepreneur_businesswoman,1
business,original,1
business,powerful_business,1
