topic_label,lema_label,count
community,community,84
countries,countries,120
countries,comfort,115
countries,community,84
countries,conditions,70
countries,comfortable,52
countries,corruption,50
countries,company,48
countries,mutual,45
countries,common,42
countries,conflicts,42
countries,contentment,41
countries,confidence,28
countries,living_conditions,28
countries,content,26
countries,cooperation,26
countries,college,25
countries,compassion,25
countries,control,24
countries,coexistence,21
countries,cohesion,20
countries,communication,19
countries,complete,19
countries,west,18
countries,class,16
countries,condition,15
countries,prosperous,15
countries,conscience,15
countries,concrete,14
countries,consumption,14
countries,contribution,14
countries,companies,14
countries,other_countries,14
countries,collaboration,13
countries,status,13
countries,ground,13
countries,wisdom,13
countries,course,12
countries,communities,12
countries,courage,12
countries,contamination,11
countries,greed,11
countries,less_corruption,11
countries,wealthy,10
countries,constant,9
countries,conscious,9
countries,good_conditions,9
countries,luxurious,9
countries,stray,9
countries,conservation,9
countries,communist,8
countries,financial_comfort,8
countries,psychological_comfort,8
countries,more_compassion,8
countries,common_ground,8
countries,self_confidence,8
countries,whatever,8
countries,connection,8
countries,different_countries,8
countries,consideration,8
countries,color,8
countries,communism,8
countries,connections,8
countries,cost,7
countries,competition,7
countries,states,7
countries,consciousness,7
countries,developed_countries,6
countries,corporations,6
countries,families,6
countries,good_company,6
countries,peaceful_coexistence,6
countries,coming,6
countries,main,6
countries,multi,6
countries,commitment,6
countries,social_cohesion,6
countries,classes,6
countries,words,6
countries,less_greed,6
countries,increased,6
countries,wage,6
countries,standards,6
countries,building,5
countries,african_countries,5
countries,construction,5
countries,tranquillity,5
countries,skin_color,5
countries,wild,5
countries,steady,5
countries,president,5
countries,dogs,5
countries,more_confidence,5
countries,contact,5
countries,wonderful,5
countries,comfortability,5
countries,trust,5
countries,welth,5
countries,computer,5
countries,infrastructure,4
countries,aspect,4
countries,more_courage,4
countries,infinite,4
countries,good_condition,4
countries,controlled,4
countries,continuous,4
countries,marginalized,4
countries,weather,4
countries,consumerism,4
countries,figures,4
countries,integrity,4
countries,subjects,4
countries,inclusion,4
countries,internal,4
countries,working_conditions,4
countries,wellbeing,4
countries,constraints,4
countries,stop,4
countries,gratitude,4
countries,costs,4
countries,concerns,4
countries,less_conflicts,4
countries,combat,4
countries,concern,4
countries,middle_class,4
countries,consumer,4
countries,world_countries,4
countries,dollars,4
countries,right_wing,3
countries,mental_wellbeing,3
countries,cohabitation,3
countries,independance,3
countries,master,3
countries,masters,3
countries,more_trust,3
countries,taxes,3
countries,united_states,3
countries,compliance,3
countries,companionship,3
countries,corporate,3
countries,countrys,3
countries,congratulations,3
countries,stabilization,3
countries,topics,3
countries,meaningful_connections,3
countries,property,3
countries,continued,3
countries,more_communication,3
countries,less_contamination,3
countries,primary,3
countries,indipendent,3
countries,wanna,3
countries,contentness,3
countries,social_class,3
countries,congolese,3
countries,warmth,3
countries,coach,3
countries,harmonious_coexistence,3
countries,climate_control,3
countries,equal_conditions,3
countries,confident,3
countries,interactions,3
countries,grade,3
countries,manner,3
countries,wing,3
countries,corrupt,3
countries,matters,3
countries,substance,3
countries,trend,3
countries,international_conflicts,3
countries,grades,3
countries,every_aspect,3
countries,prosperidad,3
countries,better_communication,3
countries,progression,3
countries,wonder,3
countries,promotion,3
countries,pure,3
countries,considerate,3
countries,gun_control,3
countries,writing,3
countries,healthy_coexistence,3
countries,inventions,3
countries,environmental_conservation,3
countries,consequences,3
countries,group,3
countries,programmer,3
countries,concepts,3
countries,subject,3
countries,worth,3
