topic_label,lema_label,count
country,country,143
country,state,18
country,nation,14
country,land,9
country,area,8
country,rural_area,1
country,country,143
country,developed_country,3
country,every_country,3
country,strong_country,3
country,better_country,3
country,safe_country,3
country,this_country,3
country,free_country,2
country,developing_country,2
country,other_country,2
country,best_country,1
country,unite_country,1
country,rich_country,1
country,european_country,1
country,smart_country,1
country,peace_country,1
country,happy_country,1
country,economic_country,1
country,great_country,1
country,divided_country,1
country,countrymen,1
country,safer_country,1
country,fellow_countrymen,1
country,foreign_country,1
country,prosperous_country,1
country,family_country,1
country,peaceful_country,1
country,another_country,1
country,ones_country,1
country,sustainable_country,1
country,advanced_country,1
