topic_label,lema_label,count
culture,culture,28
culture,civilization,12
culture,finish,2
culture,civilisation,0
cultures,cultures,51
cultures,culture,28
cultures,different_cultures,14
cultures,other_cultures,6
cultures,diverse_cultures,3
cultures,many_cultures,1
cultures,different_culture,1
cultures,indigenous_cultures,1
cultures,every_culture,1
cultures,beautiful_cultures,1
cultures,popular_culture,1
cultures,sustainable_cultures,1
cultures,good_culture,1
cultures,genders_cultures,1
cultures,more_cultures,1
cultures,respect_culture,1
cultures,various_culture,1
cultures,western_cultures,1
cultures,their_cultures,1
