topic_label,lema_label,count
difference,conflict,52
difference,difference,23
different,different,83
different,discrimination,76
different,differences,41
different,diversity,26
different,disasters,23
different,difference,23
different,dignity,22
different,diseases,20
different,distribution,12
different,division,12
different,digital,11
different,disease,11
different,difficulty,11
different,diverse,10
different,dignified,9
different,natural_disasters,9
different,discoveries,9
different,less_discrimination,8
different,dialogue,8
different,less_division,8
different,disaster,7
different,director,6
different,disagreements,5
different,difficulties,4
different,disability,4
different,disadvantaged,4
different,scientific_discoveries,4
different,zone,4
different,discipline,3
different,direction,3
different,diplomat,3
different,differing,3
different,equal_distribution,3
different,difficult,3
different,cultural_diversity,3
different,discovery,3
different,financial_difficulty,3
different,dinero,3
different,diversos,3
different,natural_disaster,3
different,direct,2
different,other_differences,2
different,fairer_distribution,2
different,more_discrimination,2
different,disposal,2
different,social_diversity,2
different,more_dialogue,2
different,that_diversity,2
different,dictators,2
different,dire,2
different,comfort_zone,2
different,disparities,2
different,diploma,2
different,guidance,2
different,racial_discrimination,2
different,dimension,2
different,fair_distribution,2
different,catastrophe,2
different,climate_catastrophe,2
different,dictatorship,2
different,their_differences,2
different,divide,2
different,divided,2
different,climate_disaster,2
different,divisions,2
different,disappearance,2
different,disfrutar,2
different,environmental_disaster,1
different,dirty,1
different,disciplined,1
different,dimasa,1
different,baby_difficulty,1
different,conocer_diversos,1
different,climate_disasters,1
different,tener_dinero,1
different,dioxide,1
different,carbon_dioxide,1
different,dalla_disponibilita,1
different,discriminacion,1
different,directions,1
different,disponibilita,1
different,planet_dieing,1
different,positive_direction,1
different,dieing,1
different,discussions,1
different,uplifting_discussions,1
different,recorrer_diversos,1
different,fewer_disasters,1
different,diversities,1
different,cultural_diversities,1
different,green_discrimination,1
different,diver,1
different,human_difference,1
different,religion_discrimination,1
different,less_dictators,1
different,rare_diseases,1
different,vacancies,1
different,gender_diversity,1
different,many_discoveries,1
different,family_zone,1
different,valued,1
different,distance,1
different,more_distance,1
different,marketing_director,1
different,dispares,1
different,socioeconomical_dispares,1
different,good_direction,1
different,individual_differences,1
different,wealth_distribution,1
different,nondiscrimination,1
different,discriminating,1
different,communicable_diseases,1
different,dietary,1
different,comprehensive_dietary,1
different,petty_differences,1
different,voir_disparaissent,1
different,disastrous,1
different,less_diseases,1
different,better_distribution,1
different,everyone’s_different,1
different,divinite,1
different,disputes,1
different,less_disputes,1
different,less_discriminating,1
different,disconnected,1
different,diminution,1
different,right_direction,1
different,diplomacy,1
different,better_diplomacy,1
different,disparaissent,1
different,dipression,1
different,less_dipression,1
different,extreme_disasters,1
different,current_discrimination,1
different,cultural_differences,1
different,socioeconomic_differences,1
different,zones,1
different,conflict_zones,1
different,differentials,1
different,wage_differentials,1
different,economic_disasters,1
different,vada,1
different,happy_vada,1
different,other_diverse,1
different,proper_disposal,1
different,other_dimension,1
different,discussion,1
different,many_different,1
different,more_dignity,1
different,thinking_guidance,1
different,defeated_diseases,1
different,positive_discrimination,1
different,discriminations,1
different,diffrent,1
different,great_discovery,1
different,diamonds,1
different,thousand_diamonds,1
different,much_difficulty,1
different,discriminatory,1
different,differnt,1
different,district,1
different,gender_disability,1
different,nuclear_disasters,1
different,disinformation,1
different,conservative_disinformation,1
different,disparity,1
different,wealth_disparity,1
different,harsh_disagreements,1
different,peoples_differences,1
different,incredible_discoveries,1
different,political_divide,1
different,several_digital,1
different,more_diversity,1
different,disarmament,1
different,nuclear_disarmament,1
different,differents,1
different,distress,1
different,financial_distress,1
different,platforms_different,1
different,historical_discoveries,1
different,fewer_divisions,1
different,politically_divided,1
different,disabled,1
different,more_disease,1
different,deadly_diseases,1
different,food_distribution,1
different,more_disability,1
different,distrabution,1
different,wealth_distrabution,1
different,global_disasters,1
different,class_division,1
different,diet,1
different,based_diet,1
different,dieases,1
different,equity_diversity,1
different,political_differences,1
different,money_distribution,1
different,major_diseases,1
different,dividend,1
different,incurable_diseases,1
different,social_discrimination,1
different,more_diseases,1
different,gender_discrimination,1
different,ecology_distribution,1
different,bigger_dividend,1
different,waste_disposal,1
different,nature_disasters,1
different,carbon_dioxcidate,1
different,dioxcidate,1
different,actor_director,1
different,film_director,1
different,disruptions,1
different,differentiation,1
different,educational_differentiation,1
different,dictatorial,1
different,varieties,1
different,many_varieties,1
different,distant,1
different,environmental_disasters,1
different,ingin_dimasa,1
different,societal_discrimination,1
