topic_label,lema_label,count
dreams,dreams,109
dreams,dream,71
dreams,ambition,8
dreams,dreaming,2
dreams,aspiration,1
dreams,dreams,109
dreams,dream,71
dreams,inspiration,8
dreams,ambition,8
dreams,aspirations,8
dreams,ambitions,8
dreams,their_dreams,7
dreams,parents_dream,3
dreams,dreamers,2
dreams,achive_dreams,2
dreams,personal_dreams,2
dreams,biggest_dream,2
dreams,fulfill_dreams,1
dreams,serious_ambitions,1
dreams,childhood_dreams,1
dreams,simple_dream,1
dreams,greatest_ambitions,1
dreams,unlimited_ambitions,1
dreams,dramas,1
dreams,biggest_dreams,1
dreams,chinese_dream,1
dreams,your_dream,1
dreams,greatest_inspiration,1
dreams,american_dream,1
dreams,great_dream,1
dreams,career_aspirations,1
dreams,your_dreams,1
dreams,future_dream,1
dreams,thousand_dreams,1
dreams,bigger_ambitions,1
dreams,drams,1
dreams,dram,1
dreams,aspiration,1
dreams,greatest_aspiration,1
dreams,drama,1
dreams,climate_drama,1
dreams,sweet_dreams,1
dreams,mothers_dream,1
