topic_label,lema_label,count
economic,economic,142
economic,economical,4
economic,economic,142
economic,good_economic,10
economic,economics,7
economic,economical,4
economic,economica,3
economic,economically,3
economic,socio_economic,3
economic,gigantic_economic,1
economic,world_economic,1
economic,less_economic,1
economic,global_economic,1
economic,more_economic,1
economic,happy_economic,1
economic,better_economic,1
economic,fair_economics,1
economic,solvencia_economica,1
economic,desigualdad_economica,1
economic,great_economic,1
economic,necessary_economic,1
economic,better_economics,1
economic,stable_economics,1
economic,technological_economic,1
economic,equal_economic,1
economic,vital_economic,1
economic,stable_economically,1
