topic_label,lema_label,count
educational,educational,11
educational,educational,11
education,education,202
education,better_education,16
education,quality_education,16
education,good_education,14
education,educational,11
education,free_education,10
education,educated,6
education,higher_education,6
education,more_education,4
education,health_education,3
education,educator,2
education,better_educator,2
education,basic_education,2
education,edge,2
education,eden,2
education,proper_education,2
education,different_education,1
education,self_education,1
education,that_education,1
education,financial_education,1
education,early_education,1
education,true_education,1
education,scientific_education,1
education,equal_education,1
education,accessible_education,1
education,biased_education,1
education,great_education,1
education,global_education,1
education,editorial,1
education,fashion_editorial,1
education,further_education,1
education,well_educated,1
education,affordable_education,1
education,prevail_edge,1
education,pedagogies,1
education,alternative_pedagogies,1
education,successful_educated,1
education,bright_education,1
education,equal_educational,1
education,educacao,1
education,oriented_education,1
education,more_educational,1
education,national_education,1
education,employment_education,1
education,breeding,1
education,poorly_educated,1
