topic_label,lema_label,count
entrepreneur,entrepreneur,61
entrepreneur,entrepreneur,61
entrepreneur,successful_entrepreneur,12
entrepreneur,great_entrepreneur,9
entrepreneur,best_entrepreneur,2
entrepreneur,philanthropist_entrepreneur,1
entrepreneur,being_entrepreneur,1
entrepreneur,established_entrepreneur,1
entrepreneur,rich_entrepreneur,1
entrepreneur,known_entrepreneur,1
entrepreneur,leader_entrepreneur,1
entrepreneur,good_entrepreneur,1
entrepreneur,social_entrepreneur,1
entrepreneur,networks_entrepreneur,1
