topic_label,lema_label,count
environmental,environmental,143
economic,economic,142
economic,economical,4
environment,environment,352
environment,environmental,143
environment,healthy_environment,30
environment,better_environment,28
environment,good_environment,26
environment,clean_environment,23
environment,safe_environment,12
environment,environments,9
environment,more_environmental,7
environment,natural_environment,6
environment,living_environment,6
environment,surroundings,5
environment,environmentally,5
environment,stable_environment,5
environment,environnement,5
environment,better_environmental,5
environment,peace_environment,4
environment,sustainable_environment,4
environment,ecological_environment,4
environment,free_environment,4
environment,cleaner_environment,4
environment,peaceful_environment,4
environment,enviroment,4
environment,global_environment,3
environment,good_environmental,3
environment,green_environment,3
environment,friendly_environment,2
environment,less_environmental,2
environment,healthy_environments,2
environment,thriving_environment,2
environment,different_environments,2
environment,healthier_environment,2
environment,livable_environment,2
environment,human_environment,1
environment,equality_environment,1
environment,inspiring_environment,1
environment,more_environmentally,1
environment,save_environment,1
environment,protected_environment,1
environment,earths_environment,1
environment,current_environmental,1
environment,humanitarian_environment,1
environment,living_environments,1
environment,great_environment,1
environment,planet_environment,1
environment,proactive_environmental,1
environment,greener_environment,1
environment,helpful_environment,1
environment,safe_environments,1
environment,loving_environment,1
environment,unsustainable_environmental,1
environment,climate_environment,1
environment,lovely_environment,1
environment,happy_environment,1
environment,peace_environmental,1
environment,main_environmental,1
environment,serene_environment,1
environment,environmentalist,1
environment,best_environment,1
environment,concrete_environmental,1
environment,comfortable_environnement,1
environment,lenvironnement,1
environment,pour_lenvironnement,1
environment,good_environnement,1
environment,various_environments,1
environment,various_environmental,1
environment,nice_enviroment,1
environment,careofthe_environment,1
environment,zero_environment,1
environment,friendly_surroundings,1
environment,lower_environmental,1
environment,holier_environment,1
environment,real_environmental,1
environment,social_environment,1
environment,improved_environment,1
environment,productive_environment,1
environment,friendly_enviroment,1
environment,safe_surroundings,1
environment,peaceful_environmental,1
environment,diverse_environment,1
environment,human_environmental,1
environment,comfortable_environment,1
environment,holy_environment,1
environment,impactful_environmental,1
environment,notre_environnement,1
environment,surrounding,1
environment,great_environnement,1
environment,current_environment,1
environment,breast_environment,1
environment,fewer_environmental,1
environment,health_environment,1
