topic_label,lema_label,count
equality,equality,372
equality,equality,372
equality,equal,134
equality,quality,84
equality,more_equality,37
equality,gender_equality,24
equality,better_quality,11
equality,good_quality,10
equality,social_equality,8
equality,more_equal,8
equality,life_quality,8
equality,greater_equality,7
equality,qualities,6
equality,high_quality,5
equality,touch,3
equality,character,3
equality,improved_quality,3
equality,better_equality,3
equality,type,3
equality,increased_equality,2
equality,more_quality,2
equality,racial_equality,2
equality,wealth_equality,2
equality,women_equality,2
equality,income_equality,1
equality,environment_qualities,1
equality,equals,1
equality,economic_equality,1
equality,individual_qualities,1
equality,further_equality,1
equality,regulated_qualities,1
equality,actual_equality,1
equality,world_equality,1
equality,higher_quality,1
equality,great_quality,1
equality,peoples_quality,1
equality,positive_equality,1
equality,characters,1
equality,patient_characters,1
equality,strong_character,1
equality,soil_quality,1
equality,issues_equality,1
equality,equalizing,1
equality,work_equality,1
equality,trace,1
equality,human_equality,1
equality,equally,1
equality,safe_equal,1
equality,equalities,1
equality,moral_character,1
equality,useful_qualities,1
equality,shared_equal,1
equality,closer_equality,1
equality,same_equal,1
equality,traces,1
equality,health_quality,1
equality,great_equality,1
equality,uber_type,1
