topic_label,lema_label,count
experience,feel,194
experience,know,132
experience,experience,22
experience,live,19
experience,receive,5
experiences,experiences,35
experiences,experience,22
experiences,life_experiences,4
experiences,good_experiences,3
experiences,life_experience,2
experiences,more_experience,2
experiences,many_experiences,2
experiences,social_experience,1
experiences,memorable_experiences,1
experiences,valuable_experience,1
experiences,great_experience,1
experiences,beautiful_experiences,1
experiences,artistic_experiences,1
experiences,different_experiences,1
experiences,outdoor_experiences,1
experiences,learnings_experiences,1
experiences,share_experiences,1
experiences,amazing_experiences,1
experiences,plentiful_experiences,1
experiences,positive_experiences,1
experiences,meaningful_experiences,1
experiences,live_experiences,1
experiences,work_experience,1
experiences,professional_experience,1
experiences,great_experiences,1
experiences,shared_experiences,1
