topic_label,lema_label,count
financial,financial,427
financial,financial,427
financial,financial,427
financial,good_financial,8
financial,financially,8
financial,stable_financial,6
financial,more_financial,5
financial,better_financial,4
financial,financialy,3
financial,free_financial,1
financial,independent_financially,1
financial,example_financial,1
financial,their_financial,1
financial,excellent_financial,1
financial,early_financial,1
financial,concrete_financial,1
financial,worldwide_financial,1
financial,enough_financial,1
financial,stability_financial,1
financial,minimum_financial,1
financial,success_financial,1
financial,personal_financial,1
financial,comfortable_financial,1
