topic_label,lema_label,count
freedom,freedom,335
freedom,freedom,335
freedom,free,156
freedom,financial_freedom,78
freedom,pollution_free,20
freedom,more_freedom,10
freedom,freedoms,5
freedom,liberal,4
freedom,plastic_free,4
freedom,tolerant,4
freedom,more_free,3
freedom,stress_free,3
freedom,enough_free,3
freedom,innocent,3
freedom,complete_freedom,2
freedom,caste_free,2
freedom,poverty_free,2
freedom,climate_free,2
freedom,worry_free,2
freedom,full_freedom,2
freedom,economic_freedom,2
freedom,fredom,2
freedom,youth_freedom,1
freedom,health_freedom,1
freedom,less_liberal,1
freedom,democracy_freedom,1
freedom,social_freedom,1
freedom,hate_free,1
freedom,freelance,1
freedom,independent_freelance,1
freedom,crime_free,1
freedom,freest,1
freedom,freewheeling,1
freedom,peace_free,1
freedom,live_free,1
freedom,environment_free,1
freedom,spiritual_freedom,1
freedom,bountiful,1
freedom,peaceful_bountiful,1
freedom,casual_free,1
freedom,truly_free,1
freedom,plentiful,1
freedom,greater_freedoms,1
freedom,capitalist_freedom,1
freedom,more_tolerant,1
freedom,just_tolerant,1
freedom,violence_free,1
freedom,financial_freedoms,1
freedom,world_free,1
freedom,fundamental_freedoms,1
freedom,waste_free,1
freedom,litter_free,1
freedom,war_free,1
freedom,more_liberal,1
freedom,suffer_free,1
freedom,violent_free,1
freedom,time_free,1
freedom,much_freedom,1
freedom,corruption_free,1
freedom,discrimination_free,1
freedom,greater_freedom,1
freedom,barrier_free,1
freedom,disease_free,1
freedom,true_freedom,1
freedom,religion_free,1
freedom,prosperous_free,1
freedom,corrupted_free,1
freedom,hunger_free,1
freedom,freedomm,1
freedom,financial_freedomm,1
