topic_label,lema_label,count
friends,friends,123
friends,friend,8
friends,champion,2
friends,acquaintance,1
friends,booster,1
friends,supporter,0
friends,friends,123
friends,good_friends,19
friends,friendship,16
friends,friendships,11
friends,friend,8
friends,close_friends,6
friends,more_friends,6
friends,true_friends,4
friends,best_friend,3
friends,many_friends,3
friends,strong_friendships,2
friends,family_friends,2
friends,caring_friends,2
friends,supportive_friends,2
friends,good_friend,2
friends,great_friendships,2
friends,close_friendships,1
friends,respectful_friend,1
friends,besf_friend,1
friends,calm_friendship,1
friends,several_friends,1
friends,sincere_friends,1
friends,ones_friends,1
friends,sincere_friendships,1
friends,valuable_friendships,1
friends,better_friends,1
friends,friendlier,1
friends,other_friends,1
friends,core_friendship,1
friends,loving_friends,1
friends,good_friendships,1
friends,count_friends,1
friends,young_friends,1
friends,love_friendship,1
friends,environmentally_friendster,1
friends,friendster,1
friends,great_friends,1
