topic_label,lema_label,count
future,future,459
future,next,30
future,succeeding,6
future,future,459
future,better_future,45
future,bright_future,24
future,good_future,18
future,successful_future,12
future,happy_future,11
future,further,11
future,stable_future,9
future,shared_future,7
future,fullness,7
future,fulfilled,6
future,fuck,6
future,great_future,6
future,sustainable_future,6
future,brighter_future,5
future,promising_future,4
future,funding,4
future,society_future,4
future,secure_future,3
future,beautiful_future,3
future,clean_future,3
future,functional,3
future,fullfillment,2
future,comfortable_future,2
future,equitable_future,2
future,futur,2
future,peaceful_future,2
future,healthy_future,2
future,free_future,2
future,more_funding,2
future,safe_future,2
future,friendly_future,1
future,secured_future,1
future,rich_future,1
future,someones_future,1
future,hopeful_future,1
future,professional_future,1
future,near_future,1
future,distant_future,1
future,settled_future,1
future,enriching_future,1
future,chinas_future,1
future,fuller,1
future,viable_future,1
future,pleasant_future,1
future,their_future,1
future,simple_future,1
future,meaningful_future,1
future,their_futures,1
future,healthier_future,1
future,worldfor_future,1
future,family_future,1
future,much_future,1
future,fudan,1
future,environmental_future,1
future,fulfilled_future,1
future,futures,1
future,green_future,1
future,positive_future,1
future,gret_future,1
future,less_funding,1
future,funny,1
future,long_fulfilled,1
future,gentler_future,1
future,prosperous_future,1
future,futuree,1
future,successful_futuree,1
future,thoughtful_future,1
future,serene_future,1
future,long_future,1
future,queer,1
future,calm_future,1
future,cleaner_future,1
future,carefree_future,1
future,technological_future,1
future,furtum,1
future,nearest_future,1
future,funded,1
future,fully_funded,1
future,personal_future,1
future,functioning,1
future,proper_functioning,1
future,fusion,1
future,nuclear_fusion,1
