topic_label,lema_label,count
growth,development,216
growth,growth,125
growth,growing,5
growth,increase,3
growth,emergence,2
growth,maturation,1
development,development,216
development,growth,125
development,sustainable_development,44
development,evolution,38
development,personal_growth,28
development,developed,19
development,democracy,19
development,personal_development,16
development,death,13
development,decisions,12
development,debt,11
development,degree,10
development,decrease,9
development,deforestation,9
development,desires,8
development,designer,8
development,decision,8
development,economic_growth,7
development,professional_development,7
development,economic_development,7
development,developer,6
development,deeds,6
development,democratic,5
development,absolute,5
development,desired,5
development,growing,5
development,depression,5
development,degrees,5
development,good_deeds,5
development,sustainable_growth,4
development,developing,4
development,career_growth,4
development,devenir,3
development,developments,3
development,late,3
development,deed,3
development,increase,3
development,self_development,3
development,more_democracy,3
development,software_developer,3
development,desire,3
development,destiny,3
development,positive_development,2
development,details,2
development,common_development,2
development,technological_development,2
development,depannya,2
development,descrimination,2
development,destroyed,2
development,deaths,2
development,democracies,2
development,determination,2
development,continuous_development,2
development,decline,2
development,desirable,2
development,infinite_growth,2
development,game_designer,2
development,deal,2
development,fashion_designer,2
development,desarrollar,2
development,masters_degree,2
development,emotion,2
development,emergence,2
development,social_development,2
development,decency,2
development,dealer,2
development,declining,2
development,more_development,2
development,demands,2
development,dependency,2
development,intellectual_growth,2
development,better_decisions,2
development,economy_growth,2
development,college_degree,2
development,desaparezcan,2
development,empathetic,2
development,independency,2
development,population_growth,2
development,engineering_degree,2
development,dependence,2
development,deseo,2
development,less_dependence,2
development,dear,2
development,decades,2
development,gain,2
development,good_deed,2
development,desejo,2
development,sustainable_developments,1
development,environmental_decision,1
development,career_development,1
development,healthy_decisions,1
development,their_desired,1
development,defilement,1
development,premature_death,1
development,demons,1
development,that_growth,1
development,technology_development,1
development,democratization,1
development,global_development,1
development,international_degrees,1
development,best_deal,1
development,depollution,1
development,department,1
development,making_department,1
development,successful_developed,1
development,depth,1
development,progressive_evolution,1
development,demise,1
development,empowered,1
development,global_growth,1
development,inclusive_development,1
development,determining,1
development,chinas_development,1
development,countrys_development,1
development,consequent_decrease,1
development,family_evolution,1
development,depletion,1
development,resource_depletion,1
development,demain,1
development,emel,1
development,degrowth,1
development,defi,1
development,innocent_death,1
development,deterioration,1
development,environmental_deterioration,1
development,demographic,1
development,countries_development,1
development,delluomo,1
development,attivita_delluomo,1
development,minimal_deaths,1
development,good_development,1
development,emocional,1
development,human_growth,1
development,develoment,1
development,departments,1
development,delinquency,1
development,overall_decrease,1
development,detach,1
development,decarbonized,1
development,healthy_development,1
development,most_deforestation,1
development,personal_gain,1
development,financial_growth,1
development,stack_developer,1
development,direct_democracy,1
development,better_democracy,1
development,empreinte,1
development,earthly_desires,1
development,small_details,1
development,peaceful_development,1
development,continuous_growth,1
development,mindless_growth,1
development,delivery,1
development,voice_delivery,1
development,polution_decrease,1
development,developmentin,1
development,destructive,1
development,devices,1
development,destructive_devices,1
development,heart_desires,1
development,emote,1
development,defeated,1
development,desprit,1
development,tranquillite_desprit,1
development,more_growth,1
development,society_development,1
development,good_decisions,1
development,interior_designer,1
development,self_growth,1
development,developmentand,1
development,loveunity_developmentand,1
development,devloper,1
development,good_devloper,1
development,tolerant_developed,1
development,several_developed,1
development,emanuel,1
development,joshua_emanuel,1
development,idenpendence,1
development,financial_idenpendence,1
development,antique_dealer,1
development,less_democracy,1
development,development_growth,1
development,scale_decisions,1
development,emotionaly,1
development,better_development,1
development,embarrassment,1
development,financial_embarrassment,1
development,continual_growth,1
development,emmissions,1
development,carbon_emmissions,1
development,devote,1
development,power_devote,1
development,needs_desires,1
development,less_dependency,1
development,representative_democracy,1
development,detrimental,1
development,deciding,1
development,fulfillment_growth,1
development,unnecessary_death,1
development,dealings,1
development,unified_dealings,1
development,deadly,1
development,decisiveness,1
development,caring_empathetic,1
development,deconstruction,1
development,decreased,1
development,genuine_democracy,1
development,constant_growth,1
development,decriminalize,1
development,good_growth,1
development,dependable,1
development,desigualdad,1
development,empatia,1
development,planeta_deseo,1
development,human_decency,1
development,common_growth,1
development,mentality_evolution,1
development,dedication,1
development,equal_development,1
development,little_details,1
development,wise_decisions,1
development,professional_growth,1
development,quality_development,1
development,deals,1
development,insecurity_decrease,1
development,exponential_development,1
development,damage_decrease,1
development,descent,1
development,dependent,1
development,design,1
development,motion_design,1
development,further_development,1
development,africa_development,1
development,business_development,1
development,healthy_developed,1
development,degli,1
development,disponibilita_degli,1
development,poder_desarrollar,1
development,dead,1
development,depan,1
development,dimasa_depan,1
development,deference,1
development,desert,1
development,world_development,1
development,dengan,1
development,character_development,1
development,depressing,1
development,this_depressing,1
development,community_development,1
development,minimal_dependency,1
development,various_developing,1
development,ever_growing,1
development,social_growth,1
development,desease,1
development,humanity_desease,1
development,desastre,1
development,natural_desastre,1
development,university_degree,1
development,human_development,1
development,ephemeral_desires,1
development,tragic_destiny,1
development,developpement,1
development,effective_development,1
development,devlopment,1
development,more_devlopment,1
development,absolutely,1
development,philippine_democracy,1
development,decroissance,1
development,financial_independency,1
development,decadence,1
development,moral_decadence,1
development,deginity,1
development,deceitful,1
development,most_democratic,1
development,less_deforestation,1
development,deputies,1
development,corrupt_deputies,1
development,right_decision,1
development,advanced_degrees,1
development,more_developed,1
development,area_development,1
development,devetir,1
development,sudden_deaths,1
development,good_degrees,1
development,real_democracies,1
development,real_democracy,1
development,sustainable_desirable,1
development,graphic_designer,1
development,certain_decision,1
development,detachment,1
development,real_decisions,1
development,full_development,1
development,teacher_increase,1
development,career_evolution,1
development,attachment_desire,1
development,towers_development,1
development,emotional_growth,1
development,improvement_development,1
development,social_evolution,1
development,better_growth,1
development,stagnant,1
development,deep,1
development,detain,1
development,bad_deeds,1
development,deseases,1
development,less_deseases,1
development,departmental,1
development,deposit,1
development,departmental_deposit,1
development,depigmentation,1
development,skin_depigmentation,1
development,determined,1
development,independent_development,1
development,tech_development,1
development,apenas_desejo,1
development,plural_development,1
development,harmonious_development,1
development,deceit,1
development,less_deceit,1
