topic_label,lema_label,count
happy,happy,413
happy,glad,1
happy,happy,413
happy,happier,18
happy,hatred,14
happy,habits,8
happy,happyness,6
happy,good_happy,5
happy,long_happy,4
happy,habitable,4
happy,happiest,3
happy,less_hatred,2
happy,stable_happy,2
happy,bad_habits,2
happy,hauteur,2
happy,healthy_happy,2
happy,good_habits,2
happy,happenese,2
happy,impulsive_habits,1
happy,hamorny,1
happy,belle_hauteur,1
happy,bernard_happy,1
happy,harmory,1
happy,hacer,1
happy,habitats,1
happy,natural_habitats,1
happy,average_happy,1
happy,hallar,1
happy,peace_happy,1
happy,happysuccessful,1
happy,harmonization,1
happy,hairstylist,1
happy,happylovely,1
happy,harmfulness,1
happy,free_happy,1
happy,hazard,1
happy,safe_happy,1
happy,simple_happy,1
happy,large_happy,1
happy,hassle,1
happy,little_hassle,1
happy,hapily,1
happy,happniess,1
happy,harsh,1
happy,such_harsh,1
happy,hateful,1
happy,endangering_habits,1
happy,hair,1
happy,long_hair,1
happy,happness,1
happy,happinness,1
happy,successful_happy,1
happy,happin,1
happy,happoness,1
happy,small_happy,1
happy,happinesss,1
happy,eternal_happy,1
happy,happynesss,1
happy,normal_happy,1
happy,more_habitable,1
happy,foster_happy,1
happy,rich_happy,1
happy,better_happy,1
happy,ahappy,1
happy,habit,1
happy,reading_habit,1
happy,little_happy,1
happy,live_happy,1
happy,hatta,1
happy,hazards,1
happy,habitos,1
happy,malos_habitos,1
happy,hands,1
happy,healthy_habits,1
happy,hajj,1
happy,beautiful_happy,1
