topic_label,lema_label,count
harmony,harmony,225
harmony,concord,2
harmony,harmony,225
harmony,harm,16
harmony,more_harmony,6
harmony,world_harmony,3
harmony,less_harm,2
harmony,perfect_harmony,2
harmony,total_harmony,2
harmony,global_harmony,2
harmony,environmental_harm,2
harmony,better_harmony,2
harmony,form_harm,1
harmony,more_harm,1
harmony,planet_harm,1
harmony,autonomous_harmony,1
harmony,uneccessary_harm,1
harmony,change_harm,1
harmony,discriminating_harmony,1
harmony,injury,1
harmony,harms,1
harmony,complete_harmony,1
harmony,mental_harmony,1
harmony,wide_harmony,1
harmony,family_harmony,1
harmony,collective_harmony,1
harmony,minimal_harm,1
harmony,environment_harmony,1
