topic_label,lema_label,count
healing,heal,40
healing,healing,20
healing,cure,6
health,health,856
health,healthy,322
health,good_health,221
health,mental_health,65
health,healthcare,62
health,healthier,40
health,well,36
health,healing,20
health,happy_healthy,13
health,better_health,11
health,free_healthcare,8
health,better_healthcare,8
health,universal_healthcare,7
health,wellness,7
health,family_health,5
health,good_healthy,4
health,long_healthy,3
health,financial_health,3
health,quality_health,3
health,physical_health,3
health,great_health,3
health,environmental_health,3
health,affordable_healthcare,2
health,everyones_health,2
health,peace_health,2
health,healty,2
health,universal_health,2
health,psychological_health,2
health,healthiness,2
health,free_health,2
health,quality_healthcare,1
health,human_health,1
health,emotional_health,1
health,equitable_health,1
health,global_health,1
health,wold_health,1
health,safety_health,1
health,more_healthy,1
health,environmental_healthy,1
health,society_healthier,1
health,growth_healthy,1
health,very_well,1
health,stable_health,1
health,security_health,1
health,perfect_health,1
health,ecosystem_healing,1
health,their_health,1
health,social_well,1
health,improved_health,1
health,happier_healthier,1
health,money_health,1
health,conditions_health,1
health,greener_healthier,1
health,robust_healthcare,1
health,healthily,1
health,ecosystem_health,1
health,cheaper_healthcare,1
health,stable_healthcare,1
health,obtainable_health,1
health,environmental_healing,1
health,stable_healthy,1
health,life_health,1
health,failing_health,1
health,good_healthcare,1
health,accessible_healthy,1
health,super_well,1
health,mental_wellness,1
health,reliable_healthcare,1
health,optimal_health,1
health,public_health,1
health,reproductive_health,1
health,more_health,1
health,familia_health,1
health,quiet_health,1
health,live_healthy,1
health,consume_healthier,1
health,mental_healing,1
health,responsible_healthier,1
health,peoples_health,1
health,happiness_health,1
health,mental_well,1
health,better_healthy,1
health,rich_health,1
health,biodiversity_healthier,1
health,state_health,1
