topic_label,lema_label,count
help,help,27
help,service,6
help,helper,4
help,assistance,4
help,assist,2
help,avail,1
help,assistant,1
help,facilitate,1
help,supporter,0
help,help,27
help,services,17
help,helpful,7
help,service,6
help,helper,4
help,helping,4
help,assistance,4
help,health_services,3
help,helpless,2
help,helps,1
help,good_helper,1
help,helpfull,1
help,good_services,1
help,mutual_help,1
help,better_services,1
help,community_service,1
help,type_services,1
help,need_help,1
help,government_assistance,1
help,social_services,1
help,better_assistance,1
help,climate_help,1
help,social_service,1
help,basic_services,1
help,good_help,1
help,sanitary_services,1
help,more_help,1
help,civil_services,1
help,future_helping,1
help,robot_assistance,1
help,food_assistance,1
