topic_label,lema_label,count
home,place,331
home,home,60
home,abode,1
home,habitation,1
home,dwelling,0
home,plate,0
place,place,331
place,better_place,134
place,home,60
place,situation,41
place,safe_place,32
place,position,23
place,peaceful_place,21
place,space,20
place,places,18
place,homelessness,17
place,safer_place,15
place,happy_place,8
place,homes,7
place,nice_home,7
place,financial_situation,7
place,side,6
place,perspectives,6
place,good_place,6
place,good_position,6
place,different_places,5
place,positions,5
place,stable_situation,5
place,good_situation,5
place,situations,5
place,stage,4
place,economic_situation,4
place,their_place,4
place,attitude,4
place,point,3
place,healthier_place,3
place,quiet_place,3
place,stable_home,3
place,professional_situation,2
place,friendly_place,2
place,financial_position,2
place,face,2
place,secure_home,2
place,kinder_place,2
place,happier_place,2
place,cleaner_place,2
place,head,2
place,site,2
place,nice_place,2
place,safe_home,2
place,peacefull_place,2
place,placement,2
place,sites,2
place,more_places,2
place,equal_place,2
place,phase,1
place,proper_phase,1
place,faces,1
place,greener_place,1
place,disconnected_place,1
place,important_place,1
place,tips,1
place,earlier_tips,1
place,lively_place,1
place,understanding_place,1
place,nice_position,1
place,facendo,1
place,traditionalist_perspectives,1
place,secure_place,1
place,nourishing_place,1
place,beautiful_situation,1
place,peoples_perspectives,1
place,precarious_situations,1
place,safest_place,1
place,environmental_situation,1
place,beautiful_place,1
place,pleasant_place,1
place,successful_position,1
place,best_placement,1
place,better_places,1
place,stable_place,1
place,lovely_place,1
place,same_place,1
place,their_places,1
place,country_situation,1
place,livable_place,1
place,important_position,1
place,green_space,1
place,desirable_positions,1
place,loving_place,1
place,global_homelessness,1
place,inclusive_place,1
place,good_home,1
place,climate_situation,1
place,fair_place,1
place,comfortable_place,1
place,political_space,1
place,attitudes,1
place,mature_attitudes,1
place,fairer_place,1
place,glamping_site,1
place,homeowner,1
place,combat_homelessness,1
place,nicer_place,1
place,violent_place,1
place,many_places,1
place,living_situation,1
place,late_stage,1
place,poverty_homelessness,1
place,dating_sites,1
place,beautiful_home,1
place,accepting_place,1
place,common_attitude,1
place,batter_place,1
place,safe_homes,1
place,exporle_space,1
place,just_place,1
place,situatuion,1
place,financial_situatuion,1
place,healed_place,1
place,better_position,1
place,working_positions,1
place,abetter_place,1
place,better_attitude,1
place,different_perspectives,1
place,stable_point,1
place,difficult_situations,1
place,international_stage,1
place,economic_position,1
place,gigantic_place,1
place,open_space,1
place,catastrophic_situation,1
place,current_place,1
place,bonne_situation,1
place,financiel_situation,1
place,stable_position,1
place,points,1
place,sdgs_points,1
place,worse_place,1
place,perfect_place,1
place,decent_place,1
place,perspective,1
place,better_perspective,1
place,clean_place,1
place,green_place,1
place,peace_place,1
place,multiple_homes,1
place,general_situation,1
place,certain_situations,1
place,backend_sites,1
place,happiest_place,1
place,bad_side,1
place,comfortable_position,1
place,wider_perspectives,1
place,powerful_positions,1
place,interesting_places,1
place,heat_homes,1
place,ecological_situation,1
place,civic_place,1
place,some_point,1
place,everyones_face,1
place,youthful_stage,1
place,your_head,1
place,ecological_point,1
place,secure_situation,1
place,worst_situations,1
place,leading_position,1
place,average_home,1
place,best_place,1
place,conscious_attitude,1
place,other_situations,1
place,prospective,1
place,bright_place,1
place,respectful_position,1
place,homd_positions,1
place,younger_stage,1
place,public_places,1
place,hometown,1
place,every_situation,1
place,sustainable_place,1
