topic_label,lema_label,count
housing,house,78
housing,housing,25
housing,lodging,1
family,family,613
family,house,78
family,happy_family,50
family,housing,25
family,healthy_family,24
family,good_family,19
family,loving_family,14
family,nice_house,8
family,beautiful_family,8
family,great_family,6
family,stable_family,6
family,affordable_housing,5
family,familys,4
family,successful_family,4
family,nice_family,3
family,your_family,2
family,large_family,2
family,supportive_family,2
family,dream_house,2
family,stable_housing,2
family,united_family,2
family,your_house,1
family,finished_house,1
family,lovely_family,1
family,structured_family,1
family,happylovely_family,1
family,parents_house,1
family,love_family,1
family,wealthy_family,1
family,lower_housing,1
family,good_house,1
family,household,1
family,loving_household,1
family,flourishing_family,1
family,godly_family,1
family,adequate_housing,1
family,little_family,1
family,perfect_family,1
family,appropriate_housing,1
family,close_family,1
family,houses,1
family,future_houses,1
family,better_housing,1
family,safe_housing,1
family,future_family,1
family,traditional_family,1
family,extended_family,1
family,decent_house,1
family,working_family,1
family,small_family,1
family,green_house,1
family,collective_housing,1
family,beloved_family,1
family,life_family,1
family,fashion_house,1
family,fulfilling_family,1
family,harmonious_family,1
family,established_family,1
family,wise_family,1
family,class_family,1
family,samll_family,1
family,openminded_family,1
family,thriving_family,1
family,work_family,1
family,separate_house,1
family,bucolic_house,1
