topic_label,lema_label,count
human,human,214
human,human,214
human,humanity,89
human,humans,54
human,good_human,35
human,better_human,7
human,basic_human,7
human,humanitarian,6
human,more_humanity,6
human,humane,3
human,more_human,3
human,great_human,3
human,other_humans,3
human,every_human,2
human,humanism,2
human,essential_human,2
human,more_humane,2
human,hatta_huma,1
human,inter_human,1
human,nice_human,1
human,true_human,1
human,every_humans,1
human,humaine,1
human,hauteur_humaine,1
human,health_humanity,1
human,organisms_humans,1
human,controlling_humanity,1
human,planet_humanity,1
human,selfish_humans,1
human,anti_human,1
human,kind_human,1
human,systemic_human,1
human,humanistic,1
human,humanized,1
human,change_human,1
human,hustle,1
human,side_hustle,1
human,fellow_humans,1
human,kinder_humanity,1
human,hurdles,1
human,many_hurdles,1
human,collective_humanity,1
human,everyone’s_human,1
human,humupify,1
human,their_human,1
human,humanization,1
human,global_humanization,1
human,real_human,1
human,better_humans,1
human,humanitarianism,1
human,humen,1
human,humanitary,1
human,humanaterian,1
human,single_human,1
human,humankind,1
human,fewer_humanitarian,1
human,minimum_human,1
human,good_humans,1
human,other_human,1
human,entire_human,1
human,good_humanity,1
human,humanos,1
human,como_humanos,1
human,helping_humanity,1
human,huma,1
