topic_label,lema_label,count
impact,impact,112
impact,affect,7
impact,touch,3
impact,shock,1
impact,impact,112
impact,positive_impact,37
impact,improved,10
impact,evil,6
impact,immigration,4
impact,immortality,3
impact,good_impact,3
impact,impactful,3
impact,lasting_impact,3
impact,impacts,3
impact,more_impact,2
impact,imagination,2
impact,imprint,2
impact,environmental_impact,2
impact,immoral,2
impact,less_evil,2
impact,great_impact,2
impact,impression,1
impact,impulsive,1
impact,modern_impulsive,1
impact,impossible,1
impact,imitation,1
impact,evils,1
impact,useful_impact,1
impact,climate_impact,1
impact,ecological_impact,1
impact,high_impact,1
impact,imaginative,1
impact,more_imaginative,1
impact,double,1
impact,illegal_immigration,1
impact,personal_impact,1
impact,much_impact,1
impact,positively_impact,1
impact,immersion,1
impact,human_impact,1
impact,negative_impacts,1
impact,reduced_immigration,1
impact,immediate,1
impact,environmental_impacts,1
impact,impacto,1
impact,mark_impact,1
impact,importan,1
impact,implementation,1
impact,energy_implementation,1
impact,small_impact,1
impact,real_impact,1
impact,genshin_impact,1
impact,minimal_impact,1
impact,immigrants,1
impact,huma_immigrants,1
impact,impartendo,1
impact,familia_impartendo,1
impact,implication,1
impact,improver,1
impact,market_improver,1
impact,image,1
impact,good_image,1
impact,immigrate,1
impact,immorality,1
impact,positive_imprint,1
