topic_label,lema_label,count
improvement,improvement,37
improvement,betterment,9
improvement,advance,6
improvement,improvement,37
improvement,improvements,8
improvement,self_improvement,6
improvement,environmental_improvement,5
improvement,environmental_improvements,1
improvement,more_improvement,1
improvement,harmony_improvement,1
improvement,inportans_improvement,1
improvement,overall_improvement,1
improvement,significant_improvement,1
improvement,improvments,1
improvement,juliet_improvement,1
improvement,ecological_improvments,1
improvement,medical_improvement,1
improvement,real_improvement,1
