topic_label,lema_label,count
individualism,individualism,4
individualism,laissez_faire,1
individualism,individuality,0
economic,economic,142
economic,economical,4
individuals,individuals,16
individuals,individual,16
individuals,individualism,4
individuals,minded_individuals,1
individuals,every_individual,1
individuals,sufficient_individual,1
individuals,complete_individual,1
individuals,independent_individual,1
individuals,different_individuals,1
individuals,useful_individual,1
individuals,every_individuals,1
individuals,motivated_individual,1
individuals,innovative_individual,1
individuals,income_individuals,1
individuals,tune_individuals,1
individuals,excessive_individualism,1
individuals,certain_individuals,1
