topic_label,lema_label,count
justice,justice,150
justice,judge,1
justice,justice,150
justice,fair,36
justice,fairer,29
justice,social_justice,25
justice,fairness,20
justice,equitable,19
justice,just,17
justice,more_justice,9
justice,only,6
justice,faire,5
justice,more_equitable,4
justice,average,4
justice,more_just,2
justice,justicia,2
justice,better_justice,2
justice,happiness_fairness,2
justice,same_fair,1
justice,comfort_fairness,1
justice,balance_fairness,1
justice,travel_fairness,1
justice,environmental_justice,1
justice,disability_justice,1
justice,racial_justice,1
justice,compassion_fairness,1
justice,economic_justice,1
justice,prosperity_fairness,1
justice,sustainability_fairness,1
justice,criminal_justice,1
justice,contentment_fairness,1
justice,more_fair,1
justice,uphold_justice,1
justice,fairer_equitable,1
justice,true_justice,1
justice,more_fairness,1
justice,ambiental_justice,1
justice,lifestyle_fairness,1
justice,honest_just,1
justice,queen_justice,1
justice,that_justice,1
justice,ecology_fairness,1
justice,greener_fairer,1
justice,quick_justice,1
justice,sustainable_equitable,1
justice,harmony_justice,1
justice,judicial_justice,1
