topic_label,lema_label,count
knowledge,knowledge,72
knowledge,knowledge,72
knowledge,kinder,13
knowledge,korea,8
knowledge,more_knowledge,8
knowledge,known,5
knowledge,king,5
knowledge,better_knowledge,4
knowledge,well_known,4
knowledge,kinds,4
knowledge,kitwe,2
knowledge,karena,2
knowledge,kingdom,2
knowledge,knowledgeable,2
knowledge,karma,2
knowledge,kanada,1
knowledge,kits,1
knowledge,food_kits,1
knowledge,kaliyuga,1
knowledge,queen,1
knowledge,professional_knowledge,1
knowledge,proper_knowledge,1
knowledge,kenny,1
knowledge,gods_knowledge,1
knowledge,luther_king,1
knowledge,best_knowledge,1
knowledge,life_king,1
knowledge,maximum_knowledge,1
knowledge,kong,1
knowledge,cultural_knowledge,1
knowledge,different_kinds,1
knowledge,kamano,1
knowledge,sandia_kamano,1
knowledge,kjgilgk,1
knowledge,jbkjbkjkhggl_kjgilgk,1
knowledge,knit,1
knowledge,close_knit,1
knowledge,knowlege,1
knowledge,better_kinder,1
knowledge,shared_knowledge,1
knowledge,killings,1
knowledge,less_killings,1
knowledge,self_knowledge,1
knowledge,generational_knowlege,1
knowledge,updated_knowledgeable,1
knowledge,sakit_karena,1
knowledge,kedepannya,1
knowledge,semoga_kedepannya,1
knowledge,kumar,1
knowledge,human_knowledge,1
knowledge,klimawandels,1
knowledge,kerre,1
knowledge,kycansuu,1
knowledge,united_kingdom,1
knowledge,practical_knowledge,1
knowledge,necessary_knowledge,1
knowledge,kjnhsnhjkbdfnibb,1
