topic_label,lema_label,count
leader,leader,62
leader,leader,62
leader,leaders,24
leader,leadership,16
leader,scout_leader,11
leader,good_leader,10
leader,great_leader,7
leader,leading,6
leader,political_leader,3
leader,world_leader,3
leader,better_leader,2
leader,global_leaders,2
leader,responsible_leader,2
leader,better_leaders,2
leader,world_leaders,2
leader,successful_leader,2
leader,leading_leader,1
leader,better_leadership,1
leader,deceitful_leaders,1
leader,lead,1
leader,more_lead,1
leader,experienced_leader,1
leader,exemplary_leaders,1
leader,young_leaders,1
leader,future_leaders,1
leader,positive_leader,1
leader,committee_leader,1
leader,greate_leader,1
leader,fearless_leadership,1
leader,good_leadership,1
leader,market_leader,1
leader,woman_leader,1
leader,positive_leadership,1
leader,business_leaders,1
leader,essential_leader,1
leader,good_leaders,1
leader,smart_leaders,1
leader,best_leaders,1
leader,wise_leader,1
leader,great_leaders,1
leader,lader,1
leader,good_lader,1
leader,renowned_leader,1
leader,political_leaders,1
leader,thought_leader,1
leader,peace_leading,1
leader,youth_leaders,1
leader,rational_leadership,1
leader,quality_leaders,1
leader,young_leading,1
