topic_label,lema_label,count
live,live,19
live,inhabit,3
live,survive,1
live,last,1
live,populate,0
live,endure,0
life,life,1449
life,happy_life,176
life,living,133
life,good_life,79
life,better_life,57
life,healthy_life,52
life,peaceful_life,51
life,lifestyle,48
life,lives,41
life,stable_life,39
life,comfortable_life,27
life,fulfilling_life,23
life,live,19
life,successful_life,18
life,professional_life,17
life,full_life,15
life,quiet_life,14
life,work_life,14
life,livable,14
life,healthy_lifestyle,13
life,better_living,13
life,family_life,12
life,species,12
life,personal_life,11
life,free_life,11
life,long_life,10
life,settled_life,10
life,close,10
life,spaces,9
life,sustainable_life,9
life,lasting,9
life,decent_life,9
life,social_life,9
life,best_life,8
life,simple_life,8
life,spiritual,8
life,their_life,8
life,spirit,7
life,great_life,7
life,sustainable_living,7
life,heart,7
life,luxurious_life,6
life,peoples_lives,6
life,beautiful_life,6
life,satisfied_life,6
life,hearts,6
life,live_life,6
life,human_life,6
life,liberation,6
life,peaceful_living,5
life,dignified_life,5
life,prosperous_life,5
life,everyday_life,5
life,sustainable_lifestyle,5
life,sports,5
life,meaningful_life,5
life,dream_life,4
life,decent_living,4
life,their_lives,4
life,lifetime,4
life,someones_life,4
life,fulfilled_life,4
life,real_life,4
life,listening,4
life,good_living,4
life,daily_life,4
life,permanent,4
life,safe_spaces,3
life,long_lasting,3
life,speed,3
life,ideal_life,3
life,spread,3
life,balanced_life,3
life,scouting_life,3
life,affordable_living,3
life,better_lives,3
life,lifes,3
life,healthy_living,3
life,closeness,3
life,green_spaces,3
life,financial_life,3
life,better_lifestyle,3
life,livelihood,3
life,lively,3
life,literary,2
life,fruitful_life,2
life,good_lives,2
life,other_species,2
life,satisfying_life,2
life,safer_life,2
life,dignified_living,2
life,comfortable_living,2
life,happier_life,2
life,sporting,2
life,safe_living,2
life,peace_life,2
life,herman,2
life,linpio,2
life,content_life,2
life,hope_life,2
life,rich_life,2
life,healed,2
life,peoples_hearts,2
life,sufficient_life,2
life,wealthy_life,2
life,good_lifestyle,2
life,sport,2
life,secure_life,2
life,safe_life,2
life,stable_living,2
life,spectativas,2
life,health_life,2
life,joyful_life,2
life,liveable,2
life,spanish,2
life,peoples_life,2
life,libertar,2
life,happier_lives,2
life,healthier_life,2
life,general_living,2
life,spare,2
life,literature,2
life,carefree_life,2
life,wealthy_lifestyle,2
life,closer,2
life,list,2
life,ordinary_life,2
life,satisfactory_living,2
life,entire_life,2
life,literacy,2
life,normal_life,2
life,future_life,2
life,freedom_life,1
life,liberalism,1
life,ultra_liberalism,1
life,secured_life,1
life,working_life,1
life,independent_living,1
life,loveable_life,1
life,well_life,1
life,life”a,1
life,decent_life”a,1
life,properous_life,1
life,sportsmen,1
life,successful_sportsmen,1
life,active_lifestyle,1
life,else’s_life,1
life,endangered_species,1
life,natural_spaces,1
life,wonderful_life,1
life,going_life,1
life,equal_life,1
life,spouse,1
life,lifr,1
life,work_lifr,1
life,librarian,1
life,lies,1
life,clean_liveable,1
life,desired_lifestyle,1
life,closers,1
life,lasting_life,1
life,passionate_life,1
life,other_life,1
life,relaxing_life,1
life,basic_life,1
life,fulfilling_lives,1
life,like,1
life,fulfilled_lives,1
life,animation,1
life,lifestyles,1
life,healthy_lifestyles,1
life,really_live,1
life,basic_living,1
life,spending,1
life,millitary_spending,1
life,love_life,1
life,happy_live,1
life,global_liberation,1
life,married_life,1
life,positive_life,1
life,independent_life,1
life,greener_living,1
life,comfortable_lives,1
life,exciting_life,1
life,cleaner_lifestyle,1
life,long_lives,1
life,heads,1
life,their_heads,1
life,harmony_life,1
life,helicopter,1
life,okay_life,1
life,soft_life,1
life,spot,1
life,sphere,1
life,every_sphere,1
life,succesful_life,1
life,specialiste,1
life,nice_lifestyle,1
life,ranch,1
life,teen_ranch,1
life,people’s_hearts,1
life,license,1
life,driver_license,1
life,survive,1
life,livestyle,1
life,sustainable_livestyle,1
life,forbes_list,1
life,comfortable_lifestyle,1
life,personal_live,1
life,spiritually,1
life,gaps,1
life,life_gaps,1
life,leading_life,1
life,lineages,1
life,limited,1
life,sober_life,1
life,international_spirit,1
life,healty_life,1
life,perfect_life,1
life,youth_spirit,1
life,your_life,1
life,sponsored,1
