topic_label,lema_label,count
love,love,505
love,passion,9
love,beloved,3
love,dear,2
love,dearest,2
love,love,505
love,long,53
love,lots,41
love,more_love,39
love,loved,38
love,loving,36
love,longevity,17
love,lower,13
love,local,9
love,self_love,7
love,true_love,5
love,much_love,4
love,lovely,4
love,their_loved,3
love,peace_love,3
love,loyalty,3
love,gods_love,2
love,london,2
love,loveable,2
love,lomofobia,2
love,louis,2
love,spread_love,2
love,lone,2
love,happy_long,2
love,logic,2
love,flowers,2
love,lottery,2
love,home_lots,1
love,free_local,1
love,real_love,1
love,loveunity,1
love,peace_loveunity,1
love,happy_loving,1
love,more_loving,1
love,loss,1
love,biodiversity_loss,1
love,functional_long,1
love,healthy_long,1
love,happiness_love,1
love,loans,1
love,student_loans,1
love,beautiful_lovely,1
love,healthily_loving,1
love,social_love,1
love,endless_love,1
love,legitimate,1
love,healthy_love,1
love,logros,1
love,safety_love,1
love,health_love,1
love,friendship_love,1
love,loyal,1
love,life_love,1
love,loosing,1
love,lowers,1
love,poverty_lowers,1
love,logical,1
love,brotherly_love,1
love,dominant_love,1
love,peaceful_flowers,1
love,logren,1
love,that_logren,1
love,passion_love,1
love,looooonglong,1
love,racism_love,1
love,looks,1
love,unhealthy_looks,1
love,more_local,1
love,free_love,1
love,location,1
love,current_location,1
love,flow,1
love,income_flow,1
love,more_logic,1
love,lovers,1
love,mutual_love,1
