topic_label,lema_label,count
mental,mental,118
mental,mental,118
mental,mentalities,14
mental,mentality,13
mental,better_mental,11
mental,good_mental,8
mental,better_mentality,3
mental,physical_mental,2
mental,poor_mental,2
mental,spiritual_mental,2
mental,their_mental,2
mental,outlook,1
mental,positive_outlook,1
mental,different_mentality,1
mental,anyones_mental,1
mental,happy_mental,1
mental,health_mental,1
mental,reduced_mental,1
mental,scale_mentalities,1
mental,mentally,1
mental,strong_mentally,1
mental,toxic_mentalities,1
mental,changing_mentalities,1
mental,sexist_mentalities,1
mental,better_mentalities,1
mental,warrior_mentality,1
