topic_label,lema_label,count
mind,mind,59
mind,idea,9
mind,judgement,5
mind,judgment,3
mind,nous,2
mind,head,2
mind,psyche,1
mind,thinker,1
mind,mind,59
mind,mindset,8
mind,mindsets,5
mind,peaceful_mind,3
mind,changing_mindsets,2
mind,nous,2
mind,better_mindset,2
mind,multipersonal_mindset,1
mind,positive_mind,1
mind,peoples_mindsets,1
mind,youth_mind,1
mind,free_mind,1
mind,global_mindsets,1
mind,their_mindset,1
mind,good_mindset,1
mind,nature_nous,1
mind,open_mind,1
mind,constructive_mindsets,1
