topic_label,lema_label,count
needs,need,56
needs,motivation,7
needs,want,2
needs,demand,1
needs,motive,1
needs,needs,65
needs,need,56
needs,next,30
needs,basic_needs,29
needs,necessities,20
needs,needy,13
needs,basic_necessities,11
needs,negative,9
needs,necessary,9
needs,motivation,7
needs,neighbor,7
needs,neutrality,6
needs,network,6
needs,networks,6
needs,social_networks,5
needs,essential,5
needs,negativity,4
needs,carbon_neutrality,4
needs,needless,3
needs,their_needs,3
needs,newton,2
needs,necessity,2
needs,human_needs,2
needs,carbon_neutral,2
needs,needed,2
needs,neutral,2
needs,near,2
needs,nepchun,2
needs,lavorare_nell’ambito,1
needs,neurosciences,1
needs,financial_need,1
needs,less_needless,1
needs,social_network,1
needs,nerve,1
needs,climate_neutrality,1
needs,neurosceince,1
needs,survival_needs,1
needs,neighbors,1
needs,better_neighbors,1
needs,life_necessities,1
needs,community_network,1
needs,neighborhood,1
needs,safe_neighborhood,1
needs,self_neutrality,1
needs,bare_necessities,1
needs,simple_needs,1
needs,neoliberalism,1
needs,worldwide_neoliberalism,1
needs,support_network,1
needs,environmental_needs,1
needs,neuropsychology,1
needs,almost,1
needs,about,1
needs,motivator_motivation,1
needs,neuralink,1
needs,best_next,1
needs,netball,1
needs,super_nepchun,1
needs,everyones_needs,1
needs,networking,1
needs,nearest,1
needs,every_necessary,1
needs,telecommunications_networks,1
needs,current_negative,1
needs,news,1
needs,ness,1
needs,humble_ness,1
needs,gabriel_motivation,1
needs,collective_needs,1
needs,first_necessities,1
needs,neuralgia,1
needs,pudendal_neuralgia,1
needs,dire_need,1
needs,necessiteux,1
needs,potential_negative,1
needs,price_need,1
needs,different_needs,1
needs,neglected,1
needs,small_needs,1
needs,nell’ambito,1
