topic_label,lema_label,count
opportunities,opportunities,163
opportunities,opportunity,51
opportunities,chance,12
opportunities,opportunities,163
opportunities,more_opportunities,31
opportunities,equal_opportunities,29
opportunities,better_opportunities,8
opportunities,same_opportunities,7
opportunities,many_opportunities,5
opportunities,growth_opportunities,3
opportunities,development_opportunities,3
opportunities,educational_opportunities,2
opportunities,travel_opportunities,2
opportunities,good_opportunities,2
opportunities,education_opportunities,1
opportunities,mismas_opportunities,1
opportunities,career_opportunities,1
opportunities,income_opportunities,1
opportunities,open_opportunities,1
opportunities,opportunitites,1
opportunities,enough_opportunities,1
opportunities,many_opportunitites,1
opportunities,countless_opportunities,1
opportunities,amazing_opportunities,1
opportunities,great_opportunities,1
opportunities,free_opportunities,1
opportunities,lots_opportunities,1
opportunities,employment_opportunities,1
opportunities,real_opportunities,1
opportunities,dopportunites,1
opportunities,rempli_dopportunites,1
