topic_label,lema_label,count
personal,personal,119
personal,personal,119
person,person,409
person,personal,119
person,good_person,73
person,better_person,63
person,successful_person,61
person,useful_person,17
person,great_person,8
person,rich_person,8
person,personality,7
person,influential_person,6
person,kind_person,6
person,best_person,6
person,richest_person,4
person,soul,4
person,helpful_person,4
person,independent_person,4
person,personas,3
person,free_person,3
person,responsible_person,3
person,accomplished_person,2
person,wealthy_person,2
person,unique_person,2
person,persons,2
person,complete_person,2
person,creative_person,2
person,success_person,2
person,honourable_person,2
person,money_personal,2
person,happy_person,2
person,perfect_person,2
person,honest_person,2
person,stable_person,2
person,more_personal,2
person,professional_personal,2
person,succesful_person,2
person,helping_person,2
person,famous_person,2
person,young_person,1
person,average_person,1
person,great_personal,1
person,minded_person,1
person,determined_person,1
person,said_person,1
person,important_person,1
person,next_person,1
person,work_personal,1
person,straight_person,1
person,personnel,1
person,military_personnel,1
person,real_person,1
person,classy_person,1
person,godfearing_person,1
person,their_personal,1
person,good_personality,1
person,warm_person,1
person,civilized_person,1
person,each_person,1
person,particular_person,1
person,enlighten_person,1
person,ideal_person,1
person,quality_personal,1
person,peaceful_person,1
person,personel,1
person,other_personal,1
person,effective_personality,1
person,buenas_personal,1
person,wealthiest_person,1
person,best_personality,1
person,usefull_person,1
person,sucessfull_person,1
person,indipendent_person,1
person,known_person,1
person,freest_person,1
person,freewheeling_person,1
person,other_personality,1
person,nice_person,1
person,only_person,1
person,patient_person,1
person,funny_person,1
person,every_person,1
person,normal_person,1
person,dependable_person,1
person,healthy_person,1
person,valued_person,1
person,fresh_soul,1
person,andy_personal,1
person,honorable_person,1
person,single_person,1
person,verter_person,1
person,intellectual_person,1
person,wise_person,1
person,mind_soul,1
person,smarter_person,1
person,courageous_person,1
person,valuable_person,1
person,personnal,1
person,celebrity,1
person,great_personality,1
person,understanding_person,1
person,exemplary_person,1
person,services_person,1
person,settled_person,1
person,active_person,1
person,relevant_person,1
person,hungereach_person,1
person,strong_personality,1
person,loving_person,1
person,respected_person,1
person,psyche,1
person,proactive_person,1
person,nicest_person,1
person,fulfilling_personal,1
person,knowledgeable_person,1
person,successfull_person,1
person,full_personal,1
person,people_person,1
person,right_person,1
person,humble_person,1
person,lucky_person,1
person,each_persons,1
person,powerful_person,1
person,balanced_person,1
