topic_label,lema_label,count
planet,planet,316
planet,planet,316
planet,healthy_planet,46
planet,sustainable_planet,13
planet,healthier_planet,11
planet,cleaner_planet,10
planet,green_planet,10
planet,plant,9
planet,this_planet,8
planet,plan,8
planet,program,6
planet,programs,5
planet,greener_planet,5
planet,planets,5
planet,free_planet,5
planet,happy_planet,4
planet,safe_planet,4
planet,peaceful_planet,4
planet,better_planet,4
planet,planeta,3
planet,flora,3
planet,beautiful_planet,3
planet,other_planets,3
planet,more_plant,2
planet,planete,2
planet,viable_planet,2
planet,gods_plan,2
planet,society_planet,2
planet,curiosity,2
planet,habitable_planet,2
planet,good_program,1
planet,life_plan,1
planet,peace_planet,1
planet,carrer_plan,1
planet,planetary,1
planet,respected_planet,1
planet,cured,1
planet,improvement_program,1
planet,nice_planet,1
planet,planning,1
planet,urban_planning,1
planet,various_flora,1
planet,enough_program,1
planet,safer_planet,1
planet,cummonism,1
planet,fuck_cummonism,1
planet,customers,1
planet,fans_customers,1
planet,clean_plant,1
planet,whole_planet,1
planet,healed_planet,1
planet,cumplir,1
planet,culturas,1
planet,other_culturas,1
planet,exercise_programs,1
planet,vegetation,1
planet,plane,1
planet,normal_plane,1
planet,damaging_planet,1
planet,humane_planet,1
planet,ecological_planet,1
planet,responsible_planet,1
planet,notre_planete,1
planet,clean_planet,1
planet,ours_planet,1
planet,livable_planet,1
planet,career_plan,1
planet,youth_programs,1
planet,plantation,1
planet,tree_plantation,1
planet,allahs_plan,1
planet,recovering_planet,1
planet,other_planet,1
planet,management_programs,1
planet,programming,1
planet,technological_plant,1
planet,curriculum,1
planet,school_curriculum,1
planet,good_planet,1
planet,explanation_programs,1
planet,cultured,1
planet,successful_cultured,1
planet,green_plant,1
planet,cumpriri,1
planet,important_cumpriri,1
planet,cuidemos,1
planet,curious,1
planet,more_curious,1
planet,blue_planet,1
planet,balanced_planet,1
