topic_label,lema_label,count
pollution,pollution,167
pollution,contamination,11
pollution,defilement,1
pollution,pollution,167
pollution,less_pollution,45
pollution,polution,11
pollution,environmental_pollution,6
pollution,more_pollution,6
pollution,less_polution,5
pollution,much_pollution,2
pollution,world_pollution,2
pollution,quality_pollution,1
pollution,global_pollution,1
pollution,zero_pollution,1
pollution,reduced_pollution,1
pollution,digital_pollution,1
pollution,clean_pollution,1
pollution,free_pollution,1
pollution,plastic_pollution,1
pollution,war_pollution,1
pollution,minimal_pollution,1
pollution,mass_pollution,1
pollution,little_pollution,1
pollution,equity_pollution,1
pollution,controlled_pollution,1
pollution,time_pollution,1
pollution,lesser_pollution,1
pollution,environment_pollution,1
pollution,light_pollution,1
pollution,polluting,1
pollution,constant_pollution,1
pollution,land_pollution,1
