topic_label,lema_label,count
poverty,poverty,208
poverty,poorness,0
poverty,poverty,208
poverty,less_poverty,35
poverty,more_poverty,10
poverty,extreme_poverty,6
poverty,lower_poverty,4
poverty,reduced_poverty,3
poverty,food_poverty,2
poverty,hunger_poverty,2
poverty,eradicate_poverty,2
poverty,scale_poverty,1
poverty,child_poverty,1
poverty,hardship_poverty,1
poverty,global_poverty,1
poverty,proverty,1
poverty,tackle_poverty,1
poverty,safe_poverty,1
poverty,free_poverty,1
poverty,radicate_poverty,1
poverty,severe_poverty,1
poverty,world_poverty,1
