topic_label,lema_label,count
progress,progress,55
progress,advancement,10
progress,advance,6
progress,progression,3
progress,progress,55
progress,progressive,9
progress,advancements,9
progress,advance,6
progress,technological_advancements,5
progress,rise,2
progress,technological_progress,2
progress,scientific_progress,2
progress,people_advancements,1
progress,good_progress,1
progress,community_progress,1
progress,resources_advancements,1
progress,positive_progress,1
progress,rapid_progress,1
progress,political_progress,1
progress,world_progress,1
progress,technology_progress,1
progress,temperature_rise,1
progress,more_progress,1
progress,chinas_rise,1
progress,study_progress,1
progress,continuous_progress,1
progress,grade_progress,1
progress,tech_progress,1
progress,scientific_advancements,1
progress,developmentand_progress,1
progress,rising,1
progress,collective_progress,1
progress,society_progress,1
progress,genuine_progress,1
progress,environmental_progress,1
progress,risks,1
progress,growth_progress,1
