topic_label,lema_label,count
purpose,purpose,21
purpose,role,17
purpose,resolve,11
purpose,function,4
purpose,propose,4
purpose,intention,2
purpose,determination,2
purpose,intent,2
purpose,design,1
purpose,purpose,21
purpose,role,17
purpose,roles,5
purpose,purposes,2
purpose,gender_roles,2
purpose,important_role,1
purpose,leadership_roles,1
purpose,purposeful,1
purpose,great_purpose,1
purpose,effective_role,1
purpose,someones_role,1
purpose,gods_purpose,1
purpose,better_purpose,1
purpose,good_role,1
purpose,security_purpose,1
purpose,life_purpose,1
purpose,significant_role,1
