topic_label,lema_label,count
resources,resources,82
resources,resource,4
resources,imagination,2
respect,respect,142
respect,resources,82
respect,relationships,55
respect,real,52
respect,values,32
respect,relationship,29
respect,responsible,24
respect,religion,20
respect,areas,20
respect,value,20
respect,responsibility,19
respect,reduction,17
respect,relations,16
respect,renewable,16
respect,more_respect,14
respect,reduced,14
respect,advantage,14
respect,ease,14
respect,measures,13
respect,voice,12
respect,natural_resources,12
respect,advances,12
respect,artist,12
respect,reason,11
respect,armonia,11
respect,respectful,10
respect,regrets,10
respect,realization,10
respect,advancement,10
respect,reality,9
respect,area,8
respect,view,8
respect,retirement,7
respect,advanced,7
respect,mutual_respect,7
respect,researcher,7
respect,good_relationships,7
respect,return,7
respect,research,7
respect,prevail,7
respect,recognition,6
respect,reasons,6
respect,simplicity,6
respect,healthy_relationships,6
respect,healthy_relationship,5
respect,strong_relationships,5
respect,genuine,5
respect,technological_advances,5
respect,reliance,5
respect,innovative,5
respect,self_esteem,5
respect,boundaries,5
respect,self_realization,5
respect,esteem,5
respect,adequate,5
respect,revolution,5
respect,religious,5
respect,enough_resources,5
respect,good_relationship,4
respect,good_values,4
respect,views,4
respect,relation,4
respect,reign,4
respect,responsibilities,4
respect,green_areas,4
respect,meaningful_relationships,4
respect,social_relations,4
respect,armed,4
respect,loving_relationship,4
respect,reliable,4
respect,resource,4
respect,rulers,3
respect,audio_recording,3
respect,rational,3
respect,loving_relationships,3
respect,happy_relationship,3
respect,resolution,3
respect,generational,3
respect,self_reliance,3
respect,rest,3
respect,rule,3
respect,reform,3
respect,reasonable,3
respect,artistic,3
respect,result,3
respect,reference,3
respect,reversal,3
respect,resilience,3
respect,really,3
respect,removal,3
respect,fulfilling_relationships,3
respect,results,3
respect,recorrer,3
respect,human_relations,3
respect,human_values,3
respect,reforestation,3
respect,technological_advancement,3
respect,recording,3
respect,regular,3
respect,respected,3
respect,many_areas,2
respect,reproductive,2
respect,more_measures,2
respect,representative,2
respect,regret,2
respect,true_value,2
respect,sleep,2
respect,relational,2
respect,administrator,2
respect,adaptation,2
respect,more_reason,2
respect,stable_relationship,2
respect,repercussions,2
respect,generosity,2
respect,retrograde,2
respect,reforms,2
respect,great_artist,2
respect,argentina,2
respect,poor_areas,2
respect,revolucao,2
respect,relevant,2
respect,fall,2
respect,rent,2
respect,refugees,2
respect,addictions,2
respect,more_responsible,2
respect,responses,2
respect,stops,2
respect,redistribution,2
respect,social_relationships,2
respect,republic,2
respect,arabic,2
respect,prevails,2
respect,career_advancement,2
respect,artificial,2
respect,peace_prevails,2
respect,arab,2
respect,remedies,2
respect,security_prevail,2
respect,regimes,2
respect,relatives,2
respect,health_resources,2
respect,representatives,2
respect,arabia,2
respect,regulations,2
respect,better_relations,2
respect,limitations,2
respect,armistice,2
respect,reassurance,2
respect,good_responsible,2
respect,more_recognition,2
respect,stronger_relationships,2
respect,rescue,2
respect,researchers,2
respect,international_relations,2
respect,regions,2
respect,different_regions,2
respect,reconciliation,2
respect,relaxation,2
respect,medical_advances,2
respect,many_regrets,2
respect,arguments,2
respect,addressing,2
respect,religions,2
respect,lain,2
respect,life_value,2
respect,measure,2
respect,reputed,2
respect,truly,2
respect,scientific_research,2
respect,limit,2
respect,more_resources,2
respect,architect,2
respect,adhd,2
respect,drastic_measures,2
respect,reflection,2
respect,generar,2
respect,related,2
respect,reussir,2
respect,less_resources,2
respect,repartition,2
respect,rationality,2
respect,respects,2
respect,better_repartition,2
respect,interpersonal_relations,1
respect,reputation,1
respect,good_reputation,1
respect,rejuvenation,1
respect,obedience,1
respect,important_resources,1
respect,more_value,1
respect,trivial_arguments,1
respect,personal_value,1
respect,admiration,1
respect,socialist_revolution,1
respect,reduzir,1
respect,iria_reduzir,1
respect,true_values,1
respect,coercive_measures,1
respect,virtual_reality,1
respect,stable_relationships,1
respect,respiratory,1
respect,pool_resources,1
respect,peoples_view,1
respect,personal_values,1
respect,survival_reasons,1
respect,prettier_values,1
respect,everyones_voice,1
respect,generalized,1
respect,primary_resources,1
respect,professor_researcher,1
respect,greater_respect,1
respect,answers,1
respect,common_answers,1
respect,resentment,1
respect,less_resentment,1
respect,reinvent,1
respect,duty,1
respect,planetary_boundaries,1
respect,responsibly,1
respect,more_real,1
respect,advocates,1
respect,rewards,1
respect,arrivare,1
respect,respeito,1
respect,reciproco,1
respect,respeito_reciproco,1
respect,relaxed,1
respect,reflexionen,1
respect,personas_reflexionen,1
respect,garbage_removal,1
respect,residence,1
respect,small_residence,1
respect,regbe,1
respect,scientific_advances,1
respect,environmentally_responsible,1
respect,respeto,1
respect,concrete_measures,1
respect,elected_representatives,1
respect,more_simplicity,1
respect,remuneration,1
respect,time_remuneration,1
respect,meaningful_measures,1
respect,strong_measures,1
respect,strong_relationship,1
respect,more_respected,1
respect,positive_reason,1
respect,well_respected,1
respect,orang_lain,1
respect,personal_relationships,1
respect,available_resources,1
respect,good_respect,1
respect,great_responsibility,1
respect,reuse,1
respect,global_reuse,1
respect,finite_resources,1
respect,more_voice,1
respect,proper_responsibility,1
respect,human_responsibility,1
respect,communist_revolucao,1
respect,humanized_relationships,1
respect,community_value,1
respect,structural_limitations,1
respect,more_generosity,1
respect,good_result,1
respect,makeup_artist,1
respect,better_respect,1
respect,restaurants,1
respect,generations_respect,1
respect,harmonious_relationships,1
respect,human_relationships,1
respect,adrenaline,1
respect,some_reputed,1
respect,hospital_administrator,1
respect,social_value,1
respect,cultural_values,1
respect,lifes_simplicity,1
respect,correct_views,1
respect,personal_addictions,1
respect,conflict_resolution,1
respect,emotional_resilience,1
respect,resourves,1
respect,share_resourves,1
respect,effective_renewable,1
respect,generates,1
respect,future_generates,1
respect,family_relationships,1
respect,artosts,1
respect,great_artosts,1
respect,renewables,1
respect,recession,1
respect,less_recession,1
respect,bigoted_views,1
respect,successful_artist,1
respect,less_reliance,1
respect,others_views,1
respect,basic_resources,1
respect,healthcare_advances,1
