topic_label,lema_label,count
safety,safety,169
safety,safe,133
safety,rubber,1
safety,refuge,0
safety,safety,169
safety,safe,133
safety,safer,30
safety,happiness_safety,14
safety,stability_safety,7
safety,peace_safety,7
safety,prosperity_safety,3
safety,success_safety,3
safety,clean_safe,2
safety,equality_safety,2
safety,rubber,1
safety,liberty_safety,1
safety,less_safety,1
safety,women_safety,1
safety,green_safe,1
safety,more_safer,1
safety,environmental_safety,1
safety,security_safety,1
safety,happier_safer,1
safety,greener_safer,1
safety,happniess_safety,1
safety,sustainability_safety,1
safety,money_safety,1
safety,friendships_safety,1
safety,comfort_safety,1
safety,propserity_safety,1
safety,more_safety,1
safety,fair_safe,1
safety,hapiness_safety,1
safety,longevity_safety,1
safety,healthy_safe,1
safety,equity_safety,1
safety,accessibility_safety,1
safety,food_safety,1
safety,better_safety,1
safety,pollution_safety,1
safety,health_safety,1
safety,happy_safety,1
safety,personal_safety,1
safety,peacemaker_safety,1
safety,wishlist_safety,1
safety,that_safety,1
safety,footballer_safety,1
safety,complete_safety,1
safety,womens_safety,1
safety,suffering_safety,1
