topic_label,lema_label,count
scout,scout,60
scout,watch,8
scout,scout,60
scout,scouting,17
scout,scouts,16
scout,good_scout,4
scout,scouter,4
scout,better_scout,3
scout,great_scout,3
scout,international_scout,2
scout,eagle_scout,2
scout,adult_scout,2
scout,more_scout,2
scout,good_scouter,2
scout,national_scout,1
scout,important_scout,1
scout,great_scouter,1
scout,bangladesh_scouts,1
scout,happy_scouter,1
scout,growing_scout,1
scout,other_scout,1
scout,more_scouts,1
scout,world_scout,1
scout,rovers,1
scout,indonesian_scouts,1
scout,original_scouting,1
scout,whole_scouting,1
scout,rover,1
scout,range_rover,1
scout,happy_scouting,1
scout,congomani_scouts,1
scout,perfect_scouts,1
scout,best_scout,1
scout,hood_scout,1
scout,future_scouting,1
scout,imma_scout,1
scout,degli_scout,1
scout,percorso_scout,1
scout,young_scout,1
scout,council_scout,1
scout,king_scout,1
