topic_label,lema_label,count
secure,secure,16
secure,ensure,11
secure,insure,2
secure,guarantee,1
peace,peace,2802
peace,world_peace,350
peace,peaceful,209
peace,more_peace,37
peace,inner_peace,25
peace,quiet,21
peace,secure,16
peace,peacefull,16
peace,serenity,14
peace,more_peaceful,13
peace,settled,13
peace,global_peace,12
peace,selfishness,7
peace,sectors,7
peace,mental_peace,6
peace,well_settled,6
peace,sexuality,5
peace,secured,5
peace,social_peace,5
peace,sector,3
peace,senseless,3
peace,happy_peaceful,3
peace,peacemaker,3
peace,sexy,3
peace,eternal_peace,3
peace,sensitivity,3
peace,rich_peace,2
peace,lasting_peace,2
peace,peacefulness,2
peace,international_peace,2
peace,serene,2
peace,sensible,2
peace,financially_secure,2
peace,love_peace,2
peace,peac,2
peace,selves,2
peace,separate,2
peace,seguro,2
peace,positive_peace,2
peace,internal_peace,2
peace,september,2
peace,seguridad,2
peace,less_selfishness,2
peace,true_peace,2
peace,fluid,2
peace,smooth,2
peace,psychological_peace,2
peace,stability_peace,2
peace,permanent_peace,2
peace,sexist,2
peace,guarantee,1
peace,peoples_sexuality,1
peace,regbe_peace,1
peace,universal_peace,1
peace,sectarianism,1
peace,more_serenity,1
peace,seminars,1
peace,live_seminars,1
peace,greater_sensitivity,1
peace,more_peacefull,1
peace,severe,1
peace,maximum_peace,1
peace,sensitive,1
peace,senegal,1
peace,freedom_peace,1
peace,several_sectors,1
peace,financially_secured,1
peace,seamless,1
peace,diffrent_sectors,1
peace,prosperity_peace,1
peace,agricultural_sector,1
peace,setizen,1
peace,good_setizen,1
peace,financial_secure,1
peace,ecological_peace,1
peace,standing_peace,1
peace,inter_peace,1
peace,nice_peaceful,1
peace,healthcare_sector,1
peace,simple_peaceful,1
peace,true_selves,1
peace,term_peace,1
peace,authentic_selves,1
peace,quietness,1
peace,contentment_peace,1
peace,settlement,1
peace,independent_peace,1
peace,healthy_peace,1
peace,mutual_peace,1
peace,union_peace,1
peace,servies,1
peace,health_servies,1
peace,sevices,1
peace,sanitary_sevices,1
peace,happiness_peace,1
peace,lugar_seguro,1
peace,peacw,1
peace,their_selfishness,1
peace,disadvantaged_sectors,1
peace,sewing,1
peace,marginalized_sectors,1
peace,seed,1
peace,more_sensible,1
peace,mediums,1
peace,different_mediums,1
peace,greater_peace,1
peace,wealth_peace,1
peace,utmost_peace,1
peace,&amp;_peaceful,1
peace,always_peaceful,1
peace,safe_peace,1
peace,personnal_peace,1
peace,complete_peace,1
peace,livable_peaceful,1
peace,change_peace,1
peace,seulement,1
peace,best_peacemaker,1
peace,sens,1
peace,much_peace,1
peace,clean_peaceful,1
peace,various_sectors,1
peace,real_peace,1
peace,this_peaceful,1
peace,daily_serenity,1
peace,self_peace,1
peace,sentiment,1
peace,tribal_sentiment,1
peace,search,1
peace,scientist_search,1
peace,semitism,1
peace,anti_semitism,1
peace,sensitization,1
peace,selection,1
peace,natural_selection,1
peace,have_secured,1
peace,future_peacefull,1
peace,spiritual_peace,1
peace,wonderful_peaceful,1
peace,&amp;_secure,1
peace,nice_settled,1
peace,segment,1
peace,satisfaction_peace,1
peace,strong_sexuality,1
peace,banking_sector,1
peace,security_peace,1
peace,harmory_peace,1
peace,seba,1
peace,forever_peace,1
peace,bussiness_sectors,1
peace,silence,1
peace,fragile_peace,1
peace,working_sectors,1
peace,seriousness,1
peace,servings,1
peace,monthly_servings,1
peace,country_seguro,1
