topic_label,lema_label,count
security,security,251
security,protection,34
security,certificate,1
security,security,251
security,financial_security,64
security,protection,34
security,shelter,20
security,environmental_protection,16
security,more_security,11
security,food_security,7
security,animal_protection,3
security,social_security,3
security,nature_protection,2
security,climate_security,2
security,cyber_security,2
security,greater_security,2
security,public_security,2
security,physical_security,2
security,better_security,2
security,child_protection,1
security,economic_security,1
security,safe_shelter,1
security,certificates,1
security,expression_security,1
security,improved_security,1
security,absolute_security,1
security,internet_security,1
security,effective_protection,1
security,medical_shelter,1
security,enough_security,1
security,more_protection,1
security,food_shelter,1
security,emotional_security,1
security,water_shelter,1
security,continued_security,1
security,decent_shelter,1
security,wildlife_protection,1
security,independence_security,1
security,highest_certificates,1
security,finacial_security,1
security,moral_security,1
security,medical_security,1
