topic_label,lema_label,count
climate,climate,475
climate,change,463
climate,variety,3
climate,shift,2
climate,switch,1
climate,exchange,1
climate,mood,1
climate,vary,0
social,social,232
social,societal,6
social,sociable,1
climate,climate,475
climate,that_climate,7
climate,more_climate,6
climate,better_climate,6
climate,climatico,4
climate,global_climate,3
climate,safe_climate,3
climate,cambio_climatico,2
climate,limit_climate,2
climate,combat_climate,2
climate,tackle_climate,2
climate,climat,2
climate,climatology,1
climate,real_climate,1
climate,causes_climate,1
climate,climatique,1
climate,defi_climatique,1
climate,stem_climate,1
climate,fight_climate,1
climate,crises_climate,1
climate,good_climate,1
climate,reduced_climate,1
climate,anthropogenic_climate,1
climate,battle_climate,1
climate,slowing_climate,1
climate,tropical_climate,1
climate,pause_climate,1
climate,addressing_climate,1
climate,reverse_climate,1
climate,cleaner_climate,1
climate,livable_climate,1
climate,spot_climate,1
climate,further_climate,1
climate,challenges_climate,1
climate,address_climate,1
climate,extreme_climate,1
climate,example_climate,1
climate,proper_climate,1
climate,clean_climate,1
climate,healthy_climate,1
climate,control_climate,1
climate,stable_climate,1
climate,holy_climate,1
climate,sustainable_climate,1
