topic_label,lema_label,count
skills,skills,40
skills,science,14
skills,skill,3
skills,accomplishment,1
skills,acquisition,0
skills,skills,40
skills,skill,3
skills,skilled,2
skills,social_skills,2
skills,soft_skills,2
skills,relavent_skills,1
skills,practical_skills,1
skills,digital_skills,1
skills,writing_skills,1
skills,superior_skills,1
skills,many_skills,1
skills,professional_skills,1
skills,leadership_skills,1
skills,highly_skilled,1
skills,skater,1
skills,figure_skater,1
skills,useful_skills,1
skills,most_skilled,1
skills,thinking_skills,1
skills,communication_skills,1
skills,myself_skills,1
skills,english_skills,1
skills,full_skills,1
skills,growing_skill,1
skills,high_skills,1
