topic_label,lema_label,count
social,social,232
social,societal,6
social,sociable,1
social,social,232
social,societal,6
social,sociable,1
social,social,232
social,less_social,9
social,more_social,9
social,societal,6
social,socialism,6
social,socialist,6
social,good_social,5
social,better_social,5
social,great_social,2
social,some_social,2
social,peoples_social,1
social,their_social,1
social,human_social,1
social,greater_social,1
social,strong_social,1
social,real_social,1
social,current_societal,1
social,democratic_socialism,1
social,equity_social,1
social,positive_social,1
social,happy_social,1
social,gender_social,1
social,financial_social,1
social,more_socialist,1
social,excellent_social,1
social,many_social,1
social,homogeneous_social,1
social,economic_social,1
social,easy_social,1
social,fair_social,1
social,sociale,1
social,justice_sociale,1
social,socializing,1
social,networking_socializing,1
social,ecological_socialism,1
social,successful_social,1
social,healthy_social,1
social,equilibre_social,1
