topic_label,lema_label,count
society,society,531
society,company,48
society,order,41
society,companionship,3
society,club,1
society,society,531
society,order,41
society,societies,20
society,better_society,15
society,good_society,9
society,free_society,8
society,peaceful_society,8
society,equal_society,7
society,rate,6
society,fairer_society,6
society,sustainable_society,6
society,rates,5
society,balanced_society,4
society,orientation,4
society,egalitarian_society,3
society,sexual_orientation,3
society,educated_society,3
society,ordinary,3
society,civilized_society,3
society,equitable_society,3
society,orphans,3
society,fair_society,3
society,safe_society,3
society,rank,3
society,pace,3
society,minded_society,2
society,greener_society,2
society,clean_society,2
society,stable_society,2
society,unified_society,2
society,other_society,2
society,healthy_society,2
society,consumer_society,2
society,highest_rank,2
society,just_society,2
society,happy_society,2
society,conscious_society,2
society,civil_society,2
society,friendly_society,2
society,green_society,2
society,altruistic_society,2
society,kind_society,2
society,safer_society,1
society,liberal_orientation,1
society,happier_society,1
society,congolese_society,1
society,high_rate,1
society,todays_society,1
society,inclusive_society,1
society,crime_rates,1
society,exciting_society,1
society,hope_society,1
society,fuck_society,1
society,city_societies,1
society,progressive_society,1
society,uncorrupt_society,1
society,affordable_rates,1
society,corrupt_society,1
society,driven_society,1
society,transforming_society,1
society,transparent_society,1
society,poverty_rate,1
society,“greener”_society,1
society,organizacion,1
society,caring_society,1
society,interest_rates,1
society,lower_rates,1
society,consumerist_society,1
society,fast_pace,1
society,their_society,1
society,eqgalitarisn_society,1
society,warmer_society,1
society,integrated_society,1
society,respectful_society,1
society,functional_society,1
society,broken_society,1
society,kinder_society,1
society,quiet_society,1
society,that_society,1
society,illiteracy_rate,1
society,war_rate,1
society,judgemental_society,1
society,enriched_society,1
society,socity,1
society,worlds_society,1
society,ecofriendly_society,1
society,united_society,1
society,harmful_society,1
society,different_society,1
society,planet_society,1
society,different_societies,1
society,intelligent_society,1
society,future_society,1
society,other_societies,1
society,best_society,1
society,global_society,1
society,orphaned,1
society,black_society,1
society,world_society,1
society,others_society,1
society,tomorrows_society,1
society,monopolized_society,1
society,aware_society,1
society,lighter_society,1
society,human_society,1
society,orders,1
society,world_orders,1
society,ranks,1
society,lawful_society,1
society,gold_society,1
society,developed_society,1
society,club,1
society,childrens_club,1
society,literally_rate,1
society,prosperous_society,1
society,understanding_society,1
society,oriented,1
society,knowledge_oriented,1
society,empathetic_society,1
society,communist_society,1
society,hygienic_society,1
