topic_label,lema_label,count
stable,stable,217
stable,unchanging,1
stable,stable,217
stable,more_stable,3
stable,esraa,3
stable,esports,2
stable,trabajo_estable,2
stable,essentials,2
stable,established,2
stable,well_established,2
stable,estable,2
stable,emotionally_stable,1
stable,stability_stable,1
stable,good_stable,1
stable,basic_essentials,1
stable,happy_stable,1
stable,estates,1
stable,high_estates,1
stable,espacio,1
stable,estability,1
stable,social_estability,1
stable,future_stable,1
stable,financially_stable,1
stable,esport,1
stable,estate,1
stable,real_estate,1
stable,estado,1
stable,financial_stable,1
stable,healthy_stable,1
stable,calm_stable,1
stable,economically_stable,1
