topic_label,lema_label,count
strength,strength,10
strength,force,5
strength,forte,1
ability,ability,29
ability,power,25
ability,footballer,13
ability,effective,11
ability,strength,10
ability,powerful,8
ability,effects,7
ability,forgiveness,5
ability,force,5
ability,professional_footballer,4
ability,driven,4
ability,effect,4
ability,forms,4
ability,football,4
ability,form,4
ability,equal_footing,3
ability,powers,3
ability,foster,3
ability,footprint,3
ability,purchasing_power,3
ability,focus,3
ability,abilities,3
ability,footing,3
ability,foundation,3
ability,perfumes,2
ability,burden,2
ability,burdens,2
ability,formar,2
ability,sort,2
ability,more_power,2
ability,drive,2
ability,very_powerful,2
ability,purpose_driven,1
ability,forums,1
ability,international_forums,1
ability,nuclear_powers,1
ability,promising_footballer,1
ability,people_power,1
ability,success_strength,1
ability,highly_effective,1
ability,forever,1
ability,marine_drive,1
ability,value_driven,1
ability,fond,1
ability,personal_ability,1
ability,positive_force,1
ability,footprints,1
ability,carbon_footprints,1
ability,formation,1
ability,folsi,1
ability,foreigners,1
ability,most_powerful,1
ability,fort,1
ability,ecologique_fort,1
ability,effectively,1
ability,carbon_footprint,1
ability,free_form,1
ability,foture,1
ability,change_effects,1
ability,harmful_effects,1
ability,leading_force,1
ability,life_forms,1
ability,someones_power,1
ability,stable_foundation,1
ability,folks,1
ability,young_folks,1
ability,continued_strength,1
ability,ridden,1
ability,crime_ridden,1
ability,more_focus,1
ability,fore,1
ability,community_driven,1
ability,negative_effect,1
ability,financial_burdens,1
ability,driving,1
ability,former,1
ability,financial_ability,1
ability,fomentar,1
ability,driver,1
ability,foundations,1
ability,forbes,1
ability,forit,1
ability,money_forit,1
ability,some_sort,1
ability,thought_forms,1
ability,positive_footprint,1
ability,formula,1
ability,formed,1
ability,political_power,1
ability,forced,1
ability,greenhouse_effect,1
ability,focussed,1
ability,social_focussed,1
ability,migration_burdens,1
ability,followers,1
ability,many_followers,1
ability,foolish,1
ability,essence,1
ability,forte,1
ability,forex,1
ability,illegal_forex,1
ability,footbaler,1
ability,task_force,1
ability,social_burden,1
ability,enough_strength,1
ability,fold,1
ability,dialogue_driven,1
ability,foreign_powers,1
ability,remove_drive,1
ability,spare_power,1
ability,different_forms,1
ability,binding_power,1
ability,financial_strength,1
ability,foodstuffs,1
ability,forces,1
ability,organizations_powers,1
ability,tycoon,1
ability,business_tycoon,1
ability,certain_form,1
