topic_label,lema_label,count
studies,work,152
studies,survey,28
studies,studies,25
studies,study,16
studies,discipline,3
studies,subject,3
work,work,152
work,studies,25
work,study,16
work,employment,14
work,good_work,14
work,shared,12
work,influence,12
work,working,10
work,player,8
work,social_work,7
work,social_worker,7
work,shape,7
work,worker,7
work,share,6
work,hard_work,6
work,cats,6
work,process,5
work,volunteer_work,5
work,works,4
work,accordance,4
work,actual,4
work,actor,4
work,decent_work,4
work,cast,4
work,accepting,3
work,further_study,3
work,more_accepting,3
work,meaningful_work,3
work,good_shape,3
work,shop,3
work,accessible,3
work,stable_work,2
work,accomplished,2
work,workers,2
work,shift,2
work,shit,2
work,short,2
work,actress,2
work,higher_studies,2
work,better_working,2
work,accomplishments,2
work,achive,2
work,acts,2
work,postgraduate_study,2
work,caste,2
work,equal_caste,2
work,great_work,2
work,basketball_player,2
work,shortages,2
work,educacao_acessivel,1
work,history_studies,1
work,peaceful_shared,1
work,some_work,1
work,postgraduate_studies,1
work,responsibility_work,1
work,various_working,1
work,chess_player,1
work,international_studies,1
work,accounts,1
work,ones_accounts,1
work,sheep,1
work,team_player,1
work,reasonable_work,1
work,aceptacion,1
work,acting,1
work,personal_accomplishments,1
work,resource_shortages,1
work,acciones,1
work,positive_influence,1
work,many_studies,1
work,achievable,1
work,good_study,1
work,engineering_studies,1
work,paradigm_shift,1
work,accomplishment,1
work,personal_accomplishment,1
work,etsy_shop,1
work,accesso,1
work,boutique_shop,1
work,your_studies,1
work,shantanu,1
work,accountable,1
work,human_influence,1
work,many_cats,1
work,show,1
work,kindness_show,1
work,accommodation,1
work,suitable_accommodation,1
work,meaninful_employment,1
work,healthy_work,1
work,academia,1
work,actors,1
work,best_actors,1
work,successful_actress,1
work,better_shape,1
work,shelters,1
work,animal_shelters,1
work,immigration_process,1
work,accommodations,1
work,disability_accommodations,1
work,productivity_work,1
work,layer,1
work,zone_layer,1
work,interesting_work,1
work,actualization,1
work,self_actualization,1
work,more_influence,1
work,free_accessible,1
work,time_work,1
work,acompanamiento,1
work,acabar,1
work,acceptation,1
work,more_acceptation,1
work,more_working,1
work,environmental_studies,1
work,accepted,1
work,more_accepted,1
work,shame,1
work,flexible_work,1
work,acquaintance,1
work,cultural_shift,1
work,such_shit,1
work,safe_work,1
work,shock,1
work,culture_shock,1
work,various_work,1
work,paid_employment,1
work,sport_study,1
work,successful_working,1
work,discriminatory_acts,1
work,religious_acts,1
work,mindset_shape,1
work,strong_work,1
work,future_work,1
work,nice_work,1
work,science_work,1
work,multiple_cats,1
work,every_work,1
work,paid_work,1
work,pleasant_work,1
work,players,1
work,global_players,1
work,major_player,1
work,their_share,1
work,business_studies,1
work,influences,1
work,bad_influences,1
work,better_work,1
work,accounting,1
work,achieved,1
work,more_work,1
work,full_employment,1
work,adequate_working,1
work,employments,1
work,more_employments,1
work,hard_working,1
work,healthy_study,1
work,fair_working,1
work,soccer_player,1
work,master_studies,1
work,quality_studies,1
work,future_shortages,1
work,academics,1
work,social_works,1
work,less_shit,1
work,good_works,1
work,international_actress,1
work,literary_works,1
work,meaningless_work,1
work,life_work,1
work,acknowledgement,1
work,purposeful_work,1
work,people_employment,1
work,esports_player,1
work,accusations,1
work,acessivel,1
