topic_label,lema_label,count
support,living,133
support,keep,113
support,support,37
support,livelihood,3
support,supporting,3
support,support,37
support,supportive,5
support,health_support,3
support,better_support,3
support,more_support,2
support,strong_support,2
support,emotional_support,2
support,educational_support,1
support,good_support,1
support,unconditional_support,1
support,social_support,1
support,professional_support,1
support,mental_support,1
support,psychologist_support,1
support,mutual_support,1
support,financial_support,1
support,little_support,1
