topic_label,lema_label,count
technology,technology,52
technology,engineering,7
technology,engineering_science,1
technology,technology,52
technology,better_technology,1
technology,advance_technology,1
technology,advanced_technology,1
technology,modern_technology,1
technology,good_technology,1
technology,rapid_technology,1
technology,blockchain_technology,1
technology,internet_technology,1
technology,peace_technology,1
technology,less_technology,1
technology,cleaner_technology,1
technology,more_technology,1
technology,equitable_technology,1
technology,date_technology,1
