topic_label,lema_label,count
there,there,3
things,things,194
things,this,55
things,ideas,26
things,thing,20
things,thinking,15
things,those,14
things,good_things,14
things,thoughts,12
things,themselves,11
things,many_things,9
things,thanks,9
things,idea,9
things,thought,8
things,great_things,6
things,threats,6
things,other_things,6
things,thousand,6
things,thriving,5
things,certain_things,4
things,critical_thinking,4
things,best_things,4
things,third,3
things,thousands,3
things,therapist,3
things,positive_things,3
things,living_things,3
things,there,3
things,simple_things,3
things,innovative_ideas,3
things,more_things,2
things,little_things,2
things,therapy,2
things,different_ideas,2
things,better_things,2
things,small_things,2
things,important_things,2
things,thirst,2
things,materialistic_things,2
things,theories,2
things,some_things,2
things,little_thing,2
things,same_thing,2
things,exciting_things,2
things,especially_those,2
things,different_things,2
things,threatening,2
things,life_threatening,2
things,various_things,1
things,engineering_ideas,1
things,respiratory_therapist,1
things,influential_things,1
things,thier,1
things,capitalist_thought,1
things,such_things,1
things,right_thing,1
things,ideals,1
things,immoral_ideals,1
things,individual_thinking,1
things,persuasive_thinking,1
things,positive_thoughts,1
things,independent_thinking,1
things,online_threats,1
things,empty_things,1
things,human_thinking,1
things,suicidal_thoughts,1
things,conspiracy_theories,1
things,hateful_ideas,1
things,bad_things,1
things,cool_things,1
things,basic_things,1
things,speech_therapist,1
things,hood_things,1
things,important_thing,1
things,small_thing,1
things,hostile_ideas,1
things,diverse_things,1
things,real_things,1
things,every_idea,1
things,warming_thanks,1
things,environmental_thing,1
things,thinks,1
things,knowledgeable_thinks,1
things,themself,1
things,good_thing,1
things,many_thoughts,1
things,smallest_things,1
things,occupational_therapist,1
things,meaningful_things,1
things,harmful_things,1
things,theirs,1
things,hungry_thirst,1
things,global_thinking,1
things,regular_thing,1
things,other_ideas,1
things,creative_ideas,1
things,tangible_thing,1
things,main_thing,1
things,thefty,1
things,capitalist_ideas,1
things,bright_things,1
things,wrong_ideas,1
things,extremist_thoughts,1
things,logical_thoughts,1
things,substandard_thought,1
things,beautiful_things,1
things,such_ideas,1
things,reactionary_thinking,1
things,negative_thoughts,1
things,themselve,1
things,business_ideas,1
things,such_thing,1
things,threatening_threats,1
things,their_thinking,1
things,approximation,1
things,practical_things,1
things,smallest_thing,1
things,themes,1
things,general_themes,1
things,immortality_thanks,1
things,human_threats,1
things,material_things,1
things,best_thing,1
things,good_thought,1
things,certain_threats,1
things,gene_therapy,1
