topic_label,lema_label,count
understanding,understand,88
understanding,realize,83
understanding,understanding,63
understanding,reason,11
understanding,agreement,4
understanding,sympathy,1
unity,unity,66
unity,understanding,63
unity,university,57
unity,united,28
unity,universal,24
unity,population,16
unity,more_understanding,12
unity,union,12
unity,good_university,12
unity,unnecessary,9
unity,mutual_understanding,8
unity,ideal_university,8
unity,unit,7
unity,single,7
unity,more_unity,6
unity,unified,6
unity,universe,6
unity,unemployment,4
unity,agreements,4
unity,better_understanding,4
unity,agreement,4
unity,greater_understanding,3
unity,every_single,3
unity,agent,3
unity,unique,3
unity,underprivileged,3
unity,dream_university,3
unity,aggressive,3
unity,undergraduate,2
unity,aging,2
unity,understandment,2
unity,uncertainty,2
unity,unsustainable,2
unity,agriculture,2
unity,universities,2
unity,agar,2
unity,unification,2
unity,great_unity,2
unity,unesco,2
unity,agricultural,2
unity,live_unforgetable,1
unity,disadvantaged_population,1
unity,unknowns,1
unity,more_unknowns,1
unity,social_understanding,1
unity,vulnerable_population,1
unity,world_understandment,1
unity,unfriendly,1
unity,uniformity,1
unity,unforgettable,1
unity,global_understanding,1
unity,undertake,1
unity,underdeveloped,1
unity,less_uncertainty,1
unity,uncsa,1
unity,unhappy,1
unity,fewer_unhappy,1
unity,hostile,1
unity,unequal,1
unity,universidad,1
unity,this_universe,1
unity,agressao,1
unity,para_agressao,1
unity,free_university,1
unity,graduated_undergraduate,1
unity,agents,1
unity,ventilating_agents,1
unity,their_unique,1
unity,technic_university,1
unity,more_united,1
unity,unite,1
unity,controlled_population,1
unity,undeveloped,1
unity,paramount_agent,1
unity,absolute_unity,1
unity,conscious_population,1
unity,unlimited,1
unity,beautiful_university,1
unity,unsolved,1
unity,medical_university,1
unity,more_understandabillity,1
unity,health_union,1
unity,medical_universities,1
unity,unilateralism,1
unity,unmarried,1
unity,public_universal,1
unity,ungrateful,1
unity,agan,1
unity,happy_agan,1
unity,unica,1
unity,african_unity,1
unity,understandabillity,1
unity,unites,1
unity,lesser_population,1
unity,communication_university,1
unity,harmony_understanding,1
unity,unhealthy,1
unity,child_population,1
unity,doubt,1
unity,unipolar,1
unity,unfair,1
unity,security_university,1
unity,national_unity,1
unity,common_understanding,1
unity,peace_unit,1
unity,preferred_university,1
unity,untuk,1
unity,bermanfaat_untuk,1
unity,world_population,1
unity,lower_population,1
unity,agroecology,1
unity,healthy_aging,1
unity,unbridled,1
unity,congolese_population,1
unity,underwater,1
unity,fudan_university,1
unity,more_sympathy,1
unity,paris_agreement,1
unity,sympathy,1
unity,success_unit,1
unity,agro,1
unity,agency,1
unity,marketing_agency,1
unity,developed_unified,1
unity,jiaotong_university,1
unity,major_agreements,1
unity,less_unemployment,1
unity,unicorni,1
unity,greater_unity,1
unity,manchester_united,1
unity,basic_universal,1
unity,security_unity,1
unity,stable_population,1
unity,uneccessary,1
unity,more_unified,1
unity,global_agreements,1
unity,less_unnecessary,1
unity,progressive_understanding,1
unity,complete_unity,1
unity,unversial,1
unity,uncorrupt,1
unity,fair_uncorrupt,1
unity,unbearable,1
unity,family_unit,1
unity,unruined,1
unity,unconditional,1
unity,enter_university,1
unity,better_understandig,1
unity,political_agreement,1
unity,well_aging,1
unity,unleash,1
unity,unversity,1
unity,understandig,1
unity,better_uniformity,1
unity,unity🤝🏼,1
unity,human_population,1
unity,unforgetable,1
