topic_label,lema_label,count
war,war,218
war,warfare,0
economic,economic,142
economic,economical,4
warming,warming,240
warming,global_warming,235
warming,war,218
warming,wars,152
warming,more_war,27
warming,less_war,22
warming,more_wars,15
warming,wages,9
warming,less_wars,8
warming,fewer_wars,4
warming,flourish,3
warming,living_wages,3
warming,world_war,2
warming,global_warning,2
warming,good_wages,2
warming,boom,2
warming,senseless_wars,2
warming,pointless_wars,2
warming,flourishing,2
warming,nuclear_war,2
warming,warning,2
warming,political_wars,1
warming,fewer_war,1
warming,bonanza,1
warming,economic_bonanza,1
warming,many_wars,1
warming,military_wars,1
warming,disastrous_wars,1
warming,ease_wars,1
warming,unnecessary_war,1
warming,rich_boom,1
warming,better_wages,1
warming,major_wars,1
warming,ridiculous_wars,1
warming,another_war,1
warming,conflict_war,1
warming,higher_wages,1
warming,violence_wars,1
warming,world_wars,1
warming,waging_wars,1
warming,petty_war,1
warming,glbal_warming,1
warming,every_war,1
warming,fair_wages,1
warming,little_war,1
warming,useless_wars,1
warming,globa_warming,1
warming,that_wars,1
warming,waited,1
warming,long_waited,1
warming,wave,1
warming,roll,1
warming,waters,1
warming,clean_waters,1
warming,warmings,1
warming,global_warmings,1
warming,economic_war,1
warming,decent_wages,1
warming,peaceful_wars,1
warming,that_war,1
warming,pandamic_war,1
warming,food_wars,1
warming,stupid_wars,1
warming,community_wars,1
warming,star_wars,1
warming,zero_wars,1
warming,water_war,1
warming,ecological_flourishing,1
