topic_label,lema_label,count
wealth,wealth,123
wealth,riches,2
wealth,wealthiness,1
wealth,wealth,123
wealth,material_wealth,3
wealth,more_wealth,2
wealth,better_wealth,2
wealth,generational_wealth,2
wealth,enough_wealth,2
wealth,healthy_wealth,2
wealth,good_wealth,1
wealth,cultural_wealth,1
wealth,high_wealth,1
wealth,less_wealth,1
wealth,improved_wealth,1
wealth,health_wealth,1
wealth,independent_wealth,1
wealth,halal_wealth,1
wealth,real_wealth,1
wealth,nations_wealth,1
wealth,peace_wealth,1
