topic_label,lema_label,count
wishes,care,191
wishes,wishes,19
wishes,wish,15
wishes,wishing,9
wishes,want,2
wishes,like,1
wishes,regard,1
wishes,compliments,1
career,career,255
career,care,191
career,successful_career,47
career,good_career,33
career,fear,30
career,attention,25
career,worries,19
career,wishes,19
career,health_care,18
career,better_care,16
career,wish,15
career,stable_career,15
career,worry,14
career,more_attention,14
career,caring,9
career,great_career,9
career,interest,8
career,interests,8
career,fulfilling_career,7
career,professional_career,7
career,interesting,6
career,carefree,5
career,inter,4
career,dream_career,4
career,medical_care,4
career,interaction,4
career,careers,3
career,carreer,3
career,your_wishes,3
career,more_care,3
career,aids,3
career,many_worries,3
career,good_care,2
career,carreira,2
career,environmental_care,2
career,future_career,2
career,financial_worries,2
career,carrer,2
career,their_wishes,2
career,better_career,2
career,fears,2
career,sucessful_career,2
career,more_caring,2
career,self_care,2
career,strong_career,2
career,planet_care,2
career,local_interaction,1
career,abusive_interests,1
career,clear_carrer,1
career,cartoon,1
career,your_interests,1
career,single_fear,1
career,achievements_aids,1
career,happy_career,1
career,economic_interests,1
career,important_wish,1
career,carbone,1
career,empreinte_carbone,1
career,humanistic_care,1
career,better_attention,1
career,environmental_interest,1
career,self_interest,1
career,best_interests,1
career,sporting_career,1
career,easy_carefree,1
career,music_career,1
career,pursuit,1
career,proper_care,1
career,other_interests,1
career,fruitful_career,1
career,human_care,1
career,good_carrer,1
career,whatever_career,1
career,many_interesting,1
career,sustainable_career,1
career,everyones_wishes,1
career,peaceful_interaction,1
career,decent_career,1
career,their_interest,1
career,compassionate_care,1
career,best_wishes,1
career,taming_care,1
career,temrinat_career,1
career,great_carreer,1
career,enjoyable_career,1
career,careofthe,1
career,careful,1
career,fewer_worries,1
career,fulfilling_wishes,1
career,succesfull_career,1
career,their_wish,1
career,medical_attention,1
career,scout_career,1
career,challenging_carreer,1
career,academic_career,1
career,environment_care,1
career,more_interaction,1
career,medical_career,1
career,strongest_wish,1
career,perfect_career,1
career,special_interests,1
career,model_career,1
career,intercultural,1
career,more_intercultural,1
career,everyones_interest,1
career,positive_attention,1
career,best_career,1
career,fearthe,1
career,more_wishes,1
career,troubles,1
career,lifes_troubles,1
career,interpretation,1
career,text_interpretation,1
career,creative_career,1
career,efficient_care,1
career,less_fear,1
career,utopian_wish,1
career,priority_interest,1
career,brighter_career,1
career,structured_career,1
career,carnal,1
career,fearless,1
career,many_career,1
career,violence_care,1
career,learning_aids,1
career,constant_fear,1
career,incomplete_wishes,1
career,fewi_wish,1
