topic_label,lema_label,count
youth,young,110
youth,youth,46
youth,young_person,1
young,young,110
young,youth,46
young,youths,10
young,younger,9
young,dynamic_young,2
young,many_young,2
young,other_young,2
young,more_youth,2
young,other_youth,2
young,most_young,2
young,worlds_youth,1
young,engaged_youth,1
young,every_young,1
young,responsible_youth,1
young,positive_youth,1
young,empower_youth,1
young,global_youth,1
young,entrepreneurial_young,1
young,particular_young,1
young,united_young,1
young,african_youth,1
young,strong_youth,1
young,young_youths,1
young,especially_young,1
young,eternal_youth,1
young,public_youth,1
young,other_youths,1
young,young_youth,1
young,successful_young,1
young,beninese_youth,1
young,youthful,1
young,their_youthful,1
young,many_youth,1
